"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"lp__",-5511.94826825,-5511.71155,22.3599438505114,21.4011086099995,-5548.778605,-5474.104845,1.00110303968998,482.92356362243,917.085043028958
"beta_nu[1]",1.11001873128,1.10975215,0.0350780172241916,0.0353512626599999,1.053485905,1.170469655,0.999892744017109,980.44516079953,1237.3847905782
"beta_nu[2]",0.707184243435,0.70884002,0.0485877711406267,0.0464699324039999,0.626531291,0.7857103645,1.00034426435993,459.323156674375,823.711585054763
"beta_nu[3]",0.38649874606,0.38642091,0.0362470089775148,0.037389793182,0.3280318835,0.446329784,1.0024195560689,645.158271181198,1047.65190859889
"beta_nu[4]",0.266997025295,0.266115455,0.0373182360565981,0.036823128636,0.204410627,0.3294439315,1.00135897087757,732.16325922527,1174.66296905584
"beta_alpha1",0.6141055712,0.61378199,0.0125097486779009,0.012548170425,0.5935914455,0.635050075,1.00266344936632,838.465968759694,1071.13546696247
"beta_alpha2",0.016886474964315,0.0166636945,0.00609346520028012,0.006079594038,0.00725131906,0.02724499805,1.00072780746425,3691.2388853218,1653.2635240826
"beta_alpha3",0.0533594552265,0.053341956,0.00560277206185385,0.0056376472866,0.0441285732,0.0627717592,0.999766051601125,2982.29317128972,1697.24688104259
"beta_tau",0.25845067134155,0.257824525,0.0911137206135524,0.091056503202,0.107351914,0.405150091,1.00024692586951,1426.73851426842,1412.81536803407
"sigma_nu_c",0.411825074575,0.41077456,0.0360914496900361,0.03739376655,0.355903946,0.4735961515,1.00143907729836,716.079968439516,1015.14960808188
"sigma_nu_r",0.29736115409,0.29602485,0.0273774410101119,0.027252982701,0.2539616425,0.342679449,1.00332388820084,726.646405259796,1460.40794622568
"sigma_nu_cr",0.298420984065,0.296908095,0.0311427992979463,0.031195030776,0.250178154,0.3514150945,1.00038719507487,687.236398306625,1073.72878485302
"sigma_alpha_intercept",0.063965617953,0.0635449585,0.00729784584416619,0.0070378540155,0.0527026446,0.0768794304,1.00074126728497,854.345079589601,1131.19141426073
"sigma_tau_intercept",0.047989304441485,0.034516158,0.0461544302722213,0.0347113776891,0.00279635965,0.141864569,1.00189834170731,1064.55200604476,1168.08297945958
"z_nu_c[1]",-0.76904494182051,-0.758360695,0.484892623908839,0.489600584382,-1.557333835,0.0159801272999999,1.00020404806705,1868.72964547437,1508.40844776737
"z_nu_c[2]",-1.237982773463,-1.234839,0.537176616405163,0.537479676195,-2.12213167,-0.3787848245,1.00025981136776,1537.72668120711,1475.0437063485
"z_nu_c[3]",-0.072285840607585,-0.07492872,0.467608488974646,0.459667542726,-0.8479987045,0.690240179,1.00054407414293,1796.82976850383,1404.65061643192
"z_nu_c[4]",0.379710172074795,0.383311525,0.39563806093603,0.395646865803,-0.268251123,1.023678345,0.999963890203949,2162.3892641904,1574.92248242554
"z_nu_c[5]",0.39768110189343,0.3924338,0.367716973725125,0.355636836576,-0.190766761,0.996800509,1.00150578342525,1960.54649517016,1332.02547544206
"z_nu_c[6]",1.276724744455,1.26845535,0.402289093203265,0.399144956721,0.627980078,1.95013742,1.00010966688695,1942.21244377663,1430.53347762007
"z_nu_c[7]",0.270568842934,0.266483835,0.387128765735219,0.3843296736951,-0.3420349405,0.904740971,1.00241391238744,2334.11442567886,1394.64944701328
"z_nu_c[8]",1.0790423538834,1.07544135,0.431642261681739,0.427673294181,0.3779466865,1.773029885,0.999461639985996,2000.93693423304,1409.06810848426
"z_nu_c[9]",1.749421545025,1.73434545,0.425288522895873,0.40362754593,1.074897695,2.477496205,1.00036488902994,2182.25089156182,1506.37161722979
"z_nu_c[10]",0.232332922615502,0.23979701,0.400417971754116,0.3938932413339,-0.436801862,0.8649253895,1.00103447002381,1788.20301961944,1473.77936516053
"z_nu_c[11]",0.0322508459274555,0.038874354,0.391817592903352,0.3915192021384,-0.606241801,0.664149253,1.00072352309332,1971.20652094997,1484.31774759199
"z_nu_c[12]",-0.32021487939532,-0.3237317,0.484236625395154,0.49301986643679,-1.12575632,0.468239715,1.00048345657338,1749.38450969759,1552.38314321116
"z_nu_c[13]",0.73327802260005,0.72971406,0.372065028321,0.356850782043,0.119513584,1.353346485,1.00059755464554,1943.22222257419,1510.08862095634
"z_nu_c[14]",-0.427948379280172,-0.42309049,0.392646436653386,0.400336151691,-1.068044035,0.20829719,0.99927822884627,1898.89051368151,1508.10666910749
"z_nu_c[15]",-0.93572643017147,-0.93143653,0.496148278573044,0.494196718512,-1.74030743,-0.0850566165500001,1.00118386692767,1345.75413761739,1547.97400967359
"z_nu_c[16]",0.17008644887429,0.160343935,0.402611818612181,0.395964638874,-0.4713351435,0.8405597845,0.999953324782271,1549.73999680808,1435.13847133528
"z_nu_c[17]",-1.437440426828,-1.4231376,0.414196958187202,0.41309031456,-2.12338628,-0.780406537,0.999976231786059,1469.89767476901,1484.56473384934
"z_nu_c[18]",0.045712221681096,0.0359951055,0.458293947460774,0.4460250215043,-0.7112983065,0.826880952,0.999915328831479,1886.82817096369,1342.70799998281
"z_nu_c[19]",-0.321452178294811,-0.31325008,0.446746103433588,0.4413666270699,-1.056111055,0.392782889,1.00027366063005,1655.81234699229,1521.48375520675
"z_nu_c[20]",0.349314150016335,0.349356675,0.447443926413253,0.4550023409337,-0.361031543,1.09655318,1.0022610303399,1733.72100133396,1720.5421184914
"z_nu_c[21]",-0.459238245043777,-0.467244935,0.454895309860455,0.444434531961,-1.2163096,0.276748162,1.00048875368957,1420.60480839141,1443.28865123067
"z_nu_c[22]",-0.83487221241425,-0.83384754,0.480226804667899,0.480137993664,-1.66391367,-0.0793316393000001,1.00170374713368,1616.36593648705,1570.85951595703
"z_nu_c[23]",1.695435518185,1.6919366,0.393353758212592,0.38223600009,1.062725805,2.35495304,0.999896506741974,1806.99841824255,1554.79787769844
"z_nu_c[24]",0.213288305431826,0.21461361,0.3720070943613,0.3631148256057,-0.3859257985,0.828299567,1.0039479513071,1662.87465518592,1496.43711557506
"z_nu_c[25]",0.93624739749547,0.918352335,0.36927151025742,0.356795184543,0.339290758,1.548087595,1.00030383656565,1677.39269784301,1503.47965029537
"z_nu_c[26]",-3.2942964835,-3.27711255,0.450581162650067,0.42924687393,-4.040320015,-2.60132834,0.999838052001416,1443.8552975039,1456.20178510351
"z_nu_c[27]",-0.236272735749625,-0.23375699,0.369758380838751,0.3691866322872,-0.836349611,0.370764353,1.00294014452602,2124.13583780262,1503.44615313929
"z_nu_c[28]",0.55026184286863,0.539152375,0.392907130491628,0.393123443538,-0.09181942025,1.20134607,1.00156750681574,1592.75245540333,1534.18967046129
"z_nu_c[29]",2.48207488325,2.4652102,0.421342658758579,0.41698799583,1.81727661,3.203533535,1.00145082641553,1520.83240869264,1288.011666639
"z_nu_c[30]",-0.5529003381767,-0.54797331,0.456568447334088,0.468674834397,-1.290050065,0.186141934,1.0005219846977,1951.46603507721,1604.64077641071
