"rep","variable","true","mean","sd","q5","q95","rhat","ess_bulk","ess_tail","bias","rel_bias_pct","covered"
1,"beta_nu[1]",1.15,1.174396801,0.0394866272003476,1.11059705,1.24048006,0.999591771824254,1237.80882010124,1222.06886978924,0.0243968010000002,2.12146095652176,TRUE
1,"beta_nu[2]",0.7,0.624804080315,0.0599019752614456,0.5254629015,0.7216849975,1.00053120449959,418.774190911008,839.067739427385,-0.075195919685,-10.7422742407143,TRUE
1,"beta_nu[3]",0.5,0.50388350168,0.0377252013814326,0.4408993855,0.564823969,1.00085811573423,822.720184618439,1416.28009839571,0.00388350167999996,0.776700335999991,TRUE
1,"beta_nu[4]",0.3,0.327020345,0.0360432499632576,0.268823635,0.3868155665,1.00120865621073,997.155950780249,1168.20576424347,0.027020345,9.00678166666667,TRUE
1,"beta_alpha2",0.024,0.022489572883,0.00643687203951612,0.01197862775,0.03337275175,1.00143876749746,4140.61125242152,1726.53129033698,-0.001510427117,-6.29344632083334,TRUE
1,"beta_alpha3",0.05,0.049979309274,0.00563384107029317,0.0408702934,0.0591990246,0.999965214808551,3101.31851923711,1755.56927961318,-2.0690726e-05,-0.041381452,TRUE
1,"sigma_nu_c",0.5,0.50940340021,0.0429222447465545,0.442478826,0.583730149,1.0021559268252,787.82555993717,1156.82335421801,0.00940340020999997,1.88068004199999,TRUE
1,"sigma_nu_r",0.3,0.280378702985,0.0289718317386698,0.2358869205,0.3305877935,1.00025245010585,811.110519745955,1185.42775966178,-0.019621297015,-6.54043233833333,TRUE
1,"sigma_nu_cr",0.3,0.272820969215,0.031544834807874,0.2247717515,0.326662652,1.00052795363055,764.4206238222,870.138621221412,-0.027179030785,-9.05967692833333,TRUE
1,"sigma_alpha_intercept",0.08,0.07944077245,0.00794696934657558,0.0672241849,0.09378353225,1.00036008820162,803.484128926014,997.704899995474,-0.000559227549999999,-0.699034437499999,TRUE
1,"w",0.52,0.52314161891,0.00543572404647436,0.514221817,0.532059653,1.00016363376402,1388.15323758114,1470.76633617043,0.00314161890999998,0.604157482692303,TRUE
2,"beta_nu[1]",1.15,1.1152244206,0.0349603690976182,1.05712409,1.173519645,0.999330240045501,2045.23908663361,1813.82698368284,-0.0347755794,-3.02396342608695,TRUE
2,"beta_nu[2]",0.7,0.64211473266,0.0664924879615269,0.5352767325,0.749729421,1.00047908320027,633.856217636552,1023.6715972401,-0.05788526734,-8.26932390571429,TRUE
