"rep","subj","t0_mean","t0_q05","t0_q95","sv_mean","sv_q05","sv_q95","alpha_mean","alpha_q05","alpha_q95","t0_true","alpha_true","sv_true","t0_covered","sv_covered","alpha_covered"
1,1,0.260402997438483,0.251737158000875,0.268833144821183,0.486092860415,0.297572501,0.6654580715,1.93506104933761,1.81037892762976,2.06954337746113,0.218562494420776,2.03845351236421,0.5,FALSE,TRUE,TRUE
1,2,0.19189961297441,0.185809274114791,0.197761932464435,0.57504195025,0.3631817935,0.87966341,1.6753508531463,1.56968115238999,1.78584171783342,0.186686111973841,1.79847573137249,0.5,TRUE,TRUE,FALSE
1,3,0.211945854965345,0.205368125859762,0.21854394767165,0.494091016085,0.311266286,0.6821704175,1.91655025663666,1.77993250252862,2.05444915416872,0.189002157317138,1.85597609512429,0.5,FALSE,TRUE,TRUE
1,4,0.234982126092438,0.227739523560367,0.242120611248281,0.510146428175,0.32051112,0.690153748,1.79323696357671,1.66405320500232,1.93117629629848,0.213735149511488,1.76168497713811,0.5,FALSE,TRUE,TRUE
1,5,0.226748144040705,0.219965185475863,0.233820180579996,0.491667795168,0.308060206,0.6809483955,1.83292793835727,1.71382289946608,1.95987214995483,0.21332505302688,1.74564136704394,0.5,FALSE,TRUE,TRUE
1,6,0.176685256057875,0.170361396837019,0.182089284228647,0.53307874236,0.3359492705,0.7821318895,1.61826309858517,1.51017473386203,1.72893715252377,0.1770938117479,1.41195548500384,0.5,TRUE,TRUE,FALSE
1,7,0.244294345551999,0.236672577839684,0.25184969664017,0.51400170913,0.3212621525,0.7187135965,1.81554160301097,1.69882498540855,1.93449311483924,0.213276205400598,1.91148535180915,0.5,FALSE,TRUE,TRUE
1,8,0.211459330797797,0.204866879005656,0.217676823307082,0.494727668471,0.305805303,0.6847996995,1.73242340316759,1.60690786415901,1.86438718790498,0.17837528350251,1.86302496068395,0.5,FALSE,TRUE,TRUE
1,9,0.235909674424889,0.228333208352904,0.243352836896291,0.604382751325,0.3867259765,0.9091792275,1.83660252427884,1.71522740229663,1.97125117378524,0.187738931850156,1.81034802856418,0.5,FALSE,TRUE,TRUE
1,10,0.213937230203283,0.204993646933447,0.220861596853053,0.5748846583,0.394156496,0.798554383,1.9393563524422,1.80185638702866,2.08058713174066,0.159324413065915,2.19534697322321,0.5,FALSE,TRUE,FALSE
1,11,0.242675862089214,0.235386189900292,0.250072244400949,0.5284011676885,0.336573098,0.7524481325,1.7173883631569,1.59273880788365,1.84696627904935,0.234791284967703,1.62531535965363,0.5,FALSE,TRUE,TRUE
1,12,0.225025254142859,0.217478441877631,0.231857448227491,0.50623303862,0.3242603365,0.691814554,1.84917653228206,1.72240435978603,1.98784687953333,0.199095851314259,1.95530720646098,0.5,FALSE,TRUE,TRUE
1,13,0.21333984149007,0.206041606031784,0.219569720677492,0.565043206835,0.3635511305,0.796723171,1.78067093901566,1.66462956571298,1.90195207883979,0.196218231179211,1.71192017472799,0.5,FALSE,TRUE,TRUE
