"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"lp__",-11510.244677,-11480.195,435.965206430724,597.3484356,-12178.4579,-10830.72345,1.75945304730541,3.05824438000207,42.4486657561589
"beta_nu[1]",1.1400831576,1.1396247,0.011934284279034,0.01178022069,1.12045408,1.16010679,1.00672237366799,1794.09785108172,1542.41591056629
"beta_nu[2]",0.69089980936,0.691026365,0.0528480877682303,0.051318264207,0.6043063775,0.7782580345,0.999852162896547,637.965572708715,959.615731937013
"beta_nu[3]",0.40908669319,0.40895503,0.0309503397223796,0.031303349532,0.3593119325,0.459190592,0.999838447943827,1379.5277690516,1525.49376894872
"beta_nu[4]",0.33614441669,0.336596195,0.030562610745658,0.030763460742,0.285946524,0.3867105005,1.00237445015058,1609.00086746822,1629.08399832509
"beta_alpha[1]",1.73487853675,1.73483285,0.0197588836647358,0.01952465592,1.702776565,1.76791445,1.0000597207943,1652.69667248856,1259.22836297104
"beta_alpha[2]",0.049424398607,0.0494571865,0.00693519588377796,0.006777824508,0.0379302573,0.0607873748,1.00090695213228,2699.80029681309,1788.21129306879
"beta_alpha[3]",0.0771007394705,0.0772666675,0.00714227219738884,0.0068973020529,0.06513536115,0.0885179692,1.00221306594642,2185.10898479524,1766.37244286062
"beta_tau",0.218890463,0.21896806,0.00452058311811233,0.00453345721500002,0.2116307035,0.226173522,1.00114592118013,2270.766765429,1279.08100399182
"sigma_nu",0.075059631141,0.078223782,0.0332984362757518,0.0376548657534,0.01781092765,0.126238122,1.43726532614663,4.09835297421095,12.6459322845858
"sigma_alpha",0.083192355692,0.082979634,0.00820973237850394,0.00832993546769999,0.0699108129,0.0970224135,1.00219239922658,392.807366868602,790.525488233116
"sigma_tau",0.00323680583999,0.0018572919,0.00309038114183623,0.00149222014662,0.0007350406525,0.008618649365,1.97277022606236,2.768392976203,13.0022084785259
"sigma_nu_c",0.50441620997,0.5012744,0.0398390562493959,0.039742583013,0.444188198,0.5723011515,1.00628938702444,1416.18207824907,1511.63681126743
"sigma_nu_r",0.289145321205,0.28845393,0.0234833239466773,0.0233311572900001,0.251899034,0.3302562405,1.01426122707895,395.773107932602,1449.79898912921
"sigma_nu_cr",0.285522089485,0.284685295,0.0249623916816983,0.024925530504,0.2469697505,0.3289629465,1.00743694220805,1291.9466702454,1247.81148072672
