"participant","tau_mean","tau_lo95","tau_hi95"
1,0.1024762702205,0.0959632587,0.107898601
2,0.180259285116667,0.17378929925,0.185737252
3,0.163523552666667,0.15698503175,0.1689105415
4,0.114964239166667,0.108824642,0.12009075425
5,0.110539022313167,0.10476812,0.1150918165
6,0.129670810575,0.12398539225,0.13435841475
7,0.111321481047167,0.10276368925,0.11837501975
8,0.1031657948485,0.095453123125,0.10990680875
9,0.156745248856666,0.15047502275,0.1620750445
10,0.156037124573333,0.149438637,0.16164848975
11,0.151831119525,0.1468205395,0.1556424025
12,0.1063017667685,0.10090227325,0.110857964
13,0.143746257121667,0.134804942,0.15156716225
14,0.112507056585167,0.1025226715,0.1209384795
15,0.160594933185,0.15589300775,0.164391319
16,0.135780365471667,0.1272150545,0.1430929355
17,0.101347644982334,0.095187409275,0.1064435615
18,0.1043650963785,0.098504380375,0.109162621
19,0.139368574191667,0.13375527825,0.14398630875
20,0.18515984773,0.17846391725,0.1908137695
21,0.111656833299,0.1039842975,0.11795483975
22,0.178533728665,0.1682770045,0.1870740435
23,0.145116015253333,0.13855756425,0.15065805825
24,0.163083770475,0.15742874875,0.167690981
25,0.11715522412,0.1094662845,0.12338927825
26,0.126082401426666,0.11919605375,0.13170665225
27,0.156349899888334,0.14975983425,0.1619968565
28,0.127677545708333,0.121667649,0.1326802835
29,0.1098461968535,0.10361628975,0.114967471
30,0.12323502198,0.1175364095,0.12767359725
31,0.113026339663333,0.1063115115,0.11844774925
32,0.145350584028333,0.1397953945,0.1499276105
33,0.131166297435,0.12382144325,0.1376127395
34,0.106808955710167,0.0999483849,0.1123137795
35,0.137913727753333,0.13142500775,0.1435334475
36,0.141470634435,0.13421476925,0.14744753425
37,0.124172588281667,0.11724285775,0.130052543
38,0.19939504369,0.19258868975,0.20531786775
39,0.146994169766666,0.14023800675,0.1524708335
40,0.151106900713333,0.144269587,0.15687580425
41,0.14923705126,0.14210859625,0.1553523635
42,0.177520004403333,0.16958605725,0.18435368725
43,0.211668101004999,0.199840743,0.221062206
44,0.106152946645,0.098638894525,0.11261094175
45,0.0801526348413334,0.0695482363,0.089535657875
46,0.12486237252,0.1188879195,0.12992636725
47,0.110127966036,0.10194909125,0.1167555115
48,0.130217899688334,0.122860323,0.136187716
49,0.150307239781667,0.14348141175,0.156003232
50,0.14056274492,0.13546730475,0.144618897
51,0.114573716758,0.106078437,0.12164331325
52,0.0933488932085002,0.084787403975,0.100700226
53,0.1096387012695,0.102565431,0.11551517525
54,0.123498707995,0.11648109275,0.12924245725
55,0.159525912818334,0.15393187775,0.16415829675
56,0.138556347783334,0.132099876,0.14392495025
57,0.162686879038333,0.15367327475,0.17049654325
58,0.175625660825,0.16798450775,0.182338664
59,0.1108213571635,0.10435469025,0.116279352
60,0.129071226203333,0.12271626,0.13438810025
61,0.108713390727833,0.10237859225,0.113973917
62,0.116797928708333,0.11092477175,0.12154506525
63,0.137039716755,0.129553816,0.14313574825
64,0.131034114476667,0.12624483875,0.13485111475
65,0.14479602298,0.13935061575,0.14904748875
66,0.102884560793834,0.09532084035,0.10914182425
67,0.138078701111667,0.12953855675,0.14537229825
68,0.154992080773333,0.148711223,0.16018777325
