"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"lp__",-5199.4111809,-5198.88115,23.5546801174782,23.8484364299997,-5239.61866,-5161.11777,1.00875651495821,430.231418224293,814.400786768555
"beta_nu[1]",1.1227060964,1.12309945,0.0362234971509262,0.0353132339699999,1.063331635,1.180492975,1.00116431163111,1131.62079721087,1549.55385420659
"beta_nu[2]",0.74692829981,0.74661385,0.0518366101932924,0.051864253896,0.6610454565,0.8330915315,1.00182784705518,438.195196422931,869.818922913216
"beta_nu[3]",0.3986132396,0.39861338,0.0366144635691309,0.035069553834,0.338446112,0.458649817,1.00105785944128,953.786416396708,1300.47055411552
"beta_nu[4]",0.27972021146,0.280593335,0.036594277032083,0.035599264575,0.220037831,0.339999403,1.00324755553062,1100.60168180159,1353.00503786978
"beta_alpha1",0.59012981567,0.59026187,0.0132156587717802,0.012971838201,0.5682888865,0.6109812365,1.00067760900058,924.712230147505,983.193738945539
"beta_alpha2",0.0307817256237,0.030851335,0.00606266277167725,0.0057129092517,0.0205646604,0.0406417723,1.00410937390184,4526.22961519166,1341.61681544881
"beta_alpha3",0.054979904798,0.054878132,0.00550105592224733,0.0054868757622,0.04604984575,0.06395369105,1.00027992721869,2994.7102845511,1581.81048761019
"beta_tau",0.23127212586085,0.23410001,0.0870502169059495,0.085405862409,0.08425360455,0.3696801405,1.00184635917472,1795.07962040123,1698.57776088024
"sigma_nu_c",0.476258000275,0.474822355,0.0404758812393575,0.03950291331,0.411008635,0.546976085,1.00183482706811,733.878089714373,1256.51192521318
"sigma_nu_r",0.29690226825,0.29553053,0.028727779947649,0.029030390298,0.2528903525,0.3459640875,1.0006046108799,937.239109652593,1430.13450974522
"sigma_nu_cr",0.281219356315,0.27923923,0.0315598140123002,0.031316996865,0.2315356685,0.33520984,0.999508928654474,830.044744064596,1390.93540745071
"sigma_alpha_intercept",0.077816779469,0.077183958,0.00770951733318691,0.007540555491,0.0656241489,0.09138330805,1.00065189869184,861.131769861575,1295.7594073864
"sigma_tau_intercept",0.05609352298009,0.0385924415,0.0541895448846792,0.0392423419122,0.003182642255,0.168944815,1.00124917676809,845.447116167622,1083.93866331167
"z_nu_c[1]",0.572140158386855,0.563328285,0.345707611116139,0.353620619184,0.01008113062,1.13632874,0.999338611260222,1984.77631460482,1405.65202532389
"z_nu_c[2]",-0.9715394919213,-0.972665025,0.388849731884563,0.376103017626,-1.62259834,-0.3232872745,1.00159728597902,2489.22276461827,1721.55515992349
"z_nu_c[3]",1.036297599893,1.03077785,0.405194344958011,0.400500483075,0.374165452,1.725314315,1.00149709291815,2270.61654717557,1313.42541048211
"z_nu_c[4]",0.15015780955821,0.15769479,0.376528713915117,0.358014793542,-0.476776735,0.7677882445,1.00179173378532,3033.05445641428,1693.74066634981
"z_nu_c[5]",-1.0179096086369,-1.0042718,0.443486373364417,0.446284698153,-1.756427455,-0.3143444355,1.00080050505459,2597.4382671443,1662.94218289537
"z_nu_c[6]",-0.59104817942805,-0.583649575,0.409434513021383,0.401897114514,-1.275888765,0.0673787911,1.00050937050181,2170.37575825216,1848.58339836294
"z_nu_c[7]",2.3471083366,2.33537325,0.405868401831406,0.39982897647,1.71152196,3.048011975,1.00308815610184,2085.0689245418,1319.88428616044
"z_nu_c[8]",-1.0543461384185,-1.05292775,0.427314456742119,0.402000058845,-1.77078956,-0.340533268,1.00049477154048,1982.89285481681,1523.81718270601
