"participant","tau_mean","tau_lo95","tau_hi95"
1,0.164481277666667,0.1542133815,0.17379833325
2,0.150205727083333,0.142472504,0.157995647
3,0.1090258735,0.100263082225,0.11599380725
4,0.102542235991667,0.096443373725,0.108498607
5,0.13194199775,0.12488308225,0.13894722775
6,0.1564465565,0.14776266425,0.1646147975
7,0.178574812,0.16829695225,0.18742366525
8,0.150320347666667,0.143856527,0.15834951925
9,0.144394893666667,0.136513195,0.1514900795
10,0.131243210666667,0.12249224125,0.13853484875
11,0.137806699666667,0.12407594025,0.148655949
12,0.140449042833333,0.1321056845,0.1495167475
13,0.140977213166667,0.1314775975,0.14987577125
14,0.166080376916667,0.1561691065,0.17542014425
15,0.193466848666667,0.17902656975,0.20571753775
16,0.164468981083333,0.153086332,0.175478577
17,0.1394882745,0.1324174375,0.14730671075
18,0.160056151916667,0.14887548,0.1690158325
19,0.133735728333333,0.1269828395,0.140185761
20,0.157231598083333,0.1475752545,0.1657952405
21,0.121204556666667,0.11363146425,0.12848134275
22,0.141673843833333,0.13535782275,0.148228837
23,0.112799199083333,0.106407023,0.1182120415
24,0.133074511,0.1216126875,0.14267237725
25,0.142537031333333,0.13493776575,0.14977374675
26,0.1472678095,0.139641389,0.154220557
27,0.184635578833333,0.17048290475,0.19579173775
28,0.162773686833333,0.1484294275,0.17240032675
29,0.1830213365,0.1706486875,0.191718184
30,0.163065294416667,0.15257892225,0.17249621475
31,0.155723340666667,0.146084999,0.16358614275
32,0.160937277166667,0.152375147,0.168595657
33,0.121580603916667,0.1138500025,0.12725629875
34,0.15286499725,0.14288238925,0.161790267
35,0.11569296575,0.1085972275,0.122352476
36,0.153909179083333,0.14678643175,0.16186578475
37,0.163429430166667,0.1544979,0.172382115
38,0.121159682666667,0.11407969275,0.1284894435
39,0.157348736,0.14866190625,0.165146872
40,0.132503160583333,0.12574804375,0.1393131215
41,0.112793492583333,0.1075196835,0.11953019775
42,0.124656665,0.11834716775,0.13052211475
43,0.158936265,0.14952535625,0.1666752335
44,0.119192914166667,0.1134242085,0.12566948925
45,0.159706449666667,0.15153141725,0.16700315275
46,0.187716664083333,0.17658613125,0.19830843875
47,0.110897849916667,0.10453702175,0.116869338
48,0.132027942583333,0.124732418,0.138529706
49,0.0928154643916667,0.085909620975,0.098947411525
50,0.151480185583333,0.14178508025,0.159836998
51,0.134574756583333,0.127188725,0.14225958225
52,0.101346569041667,0.09414654695,0.10774326125
53,0.15283457575,0.14244070375,0.16180628225
54,0.12506624075,0.1157161785,0.13276036825
55,0.171595509916667,0.1596404465,0.17932251975
56,0.146775459833333,0.134938583,0.157018702
57,0.18147230525,0.171896578,0.1907681825
58,0.115171391083333,0.10441100475,0.12205543125
59,0.135135329416667,0.129303899,0.14054872175
60,0.131788028416667,0.12392746875,0.14044040375
61,0.15550841,0.14760640625,0.16520671075
62,0.15003354325,0.14148848775,0.157796937
63,0.144882686166667,0.136256422,0.15419301675
64,0.0965046428416667,0.090242010225,0.10186469825
65,0.1369640535,0.131136614,0.14272982325
66,0.152548351083333,0.141496349,0.16138065075
67,0.107188450925,0.10025730925,0.11392064725
