"participant","st0_mean","st0_lo95","st0_hi95"
1,0.0796804629333333,0.0716458588,0.086151850975
2,0.0727957107666667,0.066226142575,0.079132666525
3,0.0528397396833334,0.047460656475,0.059302878625
4,0.0496958342333333,0.0442559939,0.054677960725
5,0.0639374191333333,0.0579381081,0.06985641845
6,0.0757959028249999,0.069242261,0.082271572625
7,0.086501805025,0.078558457925,0.092720212225
8,0.0728437239416667,0.066233339225,0.080271603475
9,0.0699609240333334,0.063768171125,0.07637957665
10,0.0635880715583333,0.058094014875,0.06989819085
11,0.0667745172166667,0.05906782035,0.074904937425
12,0.0680616898916667,0.061489443725,0.07544360195
13,0.0683142988833334,0.0613312979,0.076094794375
14,0.0804894943166667,0.07281794155,0.089824050175
15,0.0937335521583334,0.0852975498,0.10316525275
16,0.079658637675,0.071813256325,0.085835479825
17,0.0675798626333333,0.0615884571,0.073315370625
18,0.0775455121,0.069309481025,0.08398605755
19,0.0648203899666667,0.058090704575,0.071777739075
20,0.0761764447,0.069741795325,0.083824236075
21,0.058737237875,0.052417105525,0.0655336917
22,0.0686496169416667,0.06302933025,0.0749081094
23,0.0546595166916667,0.04948498295,0.0604204318
24,0.0644731023666667,0.05651149135,0.070289443075
25,0.06907086795,0.061969828525,0.075689235025
26,0.0713488504666667,0.064871455075,0.076615400575
27,0.089454788275,0.0793073777,0.098152134125
28,0.07884887305,0.0714273943,0.087133866725
29,0.0886763399,0.08109252685,0.09630436045
30,0.0790098500666667,0.070599819425,0.08635539665
31,0.075462635,0.066942947525,0.08322644265
32,0.0779850912833333,0.069108208075,0.08481098575
33,0.0589082937333333,0.052587829425,0.06406397145
34,0.0740618474916666,0.066943447825,0.0816687918
35,0.056059443425,0.050457983925,0.061555283575
36,0.0745821879833333,0.0679467824,0.08127841495
37,0.079189064575,0.069590451225,0.0862837951
38,0.0587062648666667,0.05283493375,0.0636945917
39,0.07624903855,0.070056258175,0.08405673785
40,0.064193421025,0.059029693975,0.070069289725
41,0.0546647854083333,0.048949958075,0.06001158285
42,0.0604050296416666,0.054055695975,0.0659203356
43,0.0770209954,0.068345976675,0.084324951125
44,0.0577593972666667,0.05245036975,0.063306627325
45,0.07738379245,0.06916241175,0.0850990849
46,0.09096263915,0.08162030445,0.099152464525
47,0.053754184675,0.047723599,0.058974396075
48,0.0639793634166667,0.058263896275,0.07082021155
49,0.0449624132833333,0.041018025275,0.049416857925
50,0.0733851277916666,0.0671116556,0.07895032605
51,0.0651951309,0.0594600897,0.070306702
52,0.0491146451416667,0.0437538139,0.054732991225
53,0.0740606328583333,0.0685001396,0.081176520325
54,0.060595345675,0.054555546975,0.06763828185
55,0.0831526397666667,0.075191344325,0.090753901375
56,0.071098454475,0.064921780725,0.077664703675
57,0.087928037625,0.081203098575,0.096296550575
58,0.0558060005833334,0.049742405,0.061499682
59,0.065482379275,0.05883412335,0.071065650825
60,0.0638627902166667,0.05739299825,0.0696465482
61,0.0753599642333333,0.068170522125,0.081830622525
62,0.0726815520833333,0.0663520266,0.0801940997
63,0.0701880185083333,0.063547180075,0.077102891775
64,0.046750865325,0.04178733495,0.0517337064
65,0.0663728463,0.060586392925,0.071811368575
66,0.0739069944166667,0.0658042172,0.08107075
67,0.0519432106916667,0.047198359375,0.0577881528
