"participant","cell","cell_label","nu_mean","nu_lo95","nu_hi95","alpha_mean","alpha_lo95","alpha_hi95"
1,1,"cong/post-corr",11.7951677041,10.17732031225,13.6198402455,0.900899387129178,0.764761664735512,1.02263988410038
2,1,"cong/post-corr",9.157409837275,7.796420074175,10.51260470725,1.08856063084247,0.969401122336323,1.26667083662322
3,1,"cong/post-corr",9.6063865387575,7.9559759205,11.022902017925,0.880222058744258,0.715159545166091,1.02996682141981
4,1,"cong/post-corr",8.3895066183475,7.32762072375,9.592915185275,1.33510324944618,1.18180903393309,1.49876490905494
5,1,"cong/post-corr",10.8454662346108,9.06404264,12.235372138,0.886585361211061,0.761921312058081,1.015032403697
6,1,"cong/post-corr",10.2417525034158,8.8704749837,11.902870974,0.944467237757285,0.812351375745031,1.06066671453597
7,1,"cong/post-corr",9.87889466021584,8.663249860675,11.17886048175,0.927702635126577,0.81335906835147,1.04444675026747
8,1,"cong/post-corr",10.3059479151917,8.55924082825,11.88852899625,1.00118554489353,0.848962348991295,1.16136802601855
9,1,"cong/post-corr",11.0841544294425,9.3657011637,12.899080165,0.829951732382821,0.726699188578721,0.990426799206868
10,1,"cong/post-corr",8.969081817105,7.696512324475,10.33287687075,0.994216216562034,0.8643801180492,1.13446149809195
11,1,"cong/post-corr",8.62411490484,7.57343277175,9.89819977625,1.21291310500096,1.01951778714708,1.42309873543248
12,1,"cong/post-corr",9.7942586476,8.4675452,11.56425734325,1.06725221767632,0.919260768835733,1.25166502533324
13,1,"cong/post-corr",9.67384304218417,8.138442042,11.012269005,0.943535164633381,0.821969338741378,1.09173181994122
14,1,"cong/post-corr",8.9252939349515,7.454123726075,10.44360734375,1.1569726707973,0.987230573736478,1.33752927112554
15,1,"cong/post-corr",8.89011560180333,7.27825892775,10.50891978825,1.04897646655365,0.904087979467651,1.18978390242549
16,1,"cong/post-corr",11.92482163803,10.043131570675,13.81508828675,0.70731597021667,0.589299097058055,0.881323425882612
17,1,"cong/post-corr",10.2635999837625,8.67334630025,11.96060478925,0.875788165491169,0.736616546454397,1.00498595643124
