"participant","tau_mean","tau_lo95","tau_hi95"
1,0.102474507424333,0.09570795715,0.10796097025
2,0.180221421266666,0.1735784285,0.185767787
3,0.163434348553334,0.15681882125,0.16880145875
4,0.114929060783333,0.10877179525,0.119968145
5,0.110487965788,0.10459079375,0.11513271575
6,0.129705621106667,0.12399798125,0.1343665765
7,0.111384869806333,0.10300600925,0.118391044
8,0.103174104667167,0.095560384875,0.10955162525
9,0.156777174068333,0.150564455,0.1621512185
10,0.15601877944,0.14922785975,0.1616518305
11,0.151785539828334,0.1468320075,0.15565811175
12,0.1063259963695,0.10062749725,0.1109560655
13,0.143805781455,0.134862483,0.15162082
14,0.112540276334333,0.10257537075,0.121043714
15,0.160549302016667,0.15588547875,0.164337831
16,0.135828774928334,0.12754225625,0.14296002375
17,0.1014298859125,0.095255686175,0.106546044
18,0.104353277933333,0.09820721845,0.10911023325
19,0.139352425015,0.133532184,0.1439138115
20,0.185141852288333,0.178353838,0.19094814
21,0.111696414085667,0.103938137,0.11808186925
22,0.17862800242,0.16853949525,0.187472161
23,0.145035724885,0.1381926675,0.150550266
24,0.163071077788333,0.15761208375,0.16753988675
25,0.117172577596667,0.1096757475,0.12369278175
26,0.126056937418333,0.11924197625,0.13160674575
27,0.156404941343333,0.14981439775,0.16179185725
28,0.127745099325,0.1216166175,0.13269989775
29,0.109845087888,0.1037091285,0.114834135
30,0.123292469475,0.117556475,0.127676342
31,0.1130231414945,0.10635492975,0.118473721
32,0.145304126043333,0.139920092,0.149796573
33,0.131164878805,0.123937471,0.13744544225
34,0.106837553761167,0.10051677025,0.11210597525
35,0.137928795441667,0.131542128,0.14331699725
36,0.141493503986667,0.134526852,0.14726387725
37,0.124150499303333,0.11693555325,0.1300195565
38,0.199405788275,0.19257125075,0.20522749325
39,0.147099257821666,0.1405402275,0.15260023625
40,0.151067441285,0.144172717,0.157038837
41,0.149262595171667,0.142467364,0.15527928425
42,0.177565689371666,0.16932209425,0.1843518665
43,0.211630278555001,0.1999384735,0.22134551275
44,0.106173214893833,0.098634304775,0.112631147
45,0.0802711188801667,0.069376730625,0.089715166325
46,0.124816826578334,0.1188499575,0.12984861575
47,0.110207914633833,0.1024925365,0.1168620035
48,0.13025569474,0.1232420485,0.136106633
49,0.15028244029,0.14361116625,0.1559835865
50,0.140514544286667,0.13516043175,0.144613218
51,0.1145777299645,0.10597878875,0.12177287425
52,0.0933157590326663,0.08487149405,0.10052507525
53,0.109661994743167,0.1026209065,0.1154516775
54,0.123517261911667,0.11657557175,0.1291721875
55,0.159546719616667,0.15385722575,0.16411741875
56,0.138525099243333,0.1317930685,0.14397210575
57,0.162668996048333,0.15367317425,0.17025132525
58,0.175665738625,0.16817475375,0.18222222625
59,0.110796896724334,0.104362691,0.11629013175
60,0.129047102735,0.1225406,0.134334076
61,0.108800877471166,0.102371042,0.11418124075
62,0.116777235323333,0.11088032325,0.1214511515
63,0.137077029925,0.1295616345,0.143190787
64,0.131006815551667,0.126295708,0.1349442435
65,0.144804839931666,0.1395952865,0.148933603
66,0.102848977617833,0.09520412455,0.10903251075
67,0.138103761448333,0.1295424035,0.14541295475
68,0.154953655128333,0.148917336,0.15993933775
69,0.102958292752167,0.096730428675,0.10796107175
70,0.103141415614167,0.096193294075,0.1088999875
71,0.126879557643333,0.1207647295,0.132035559
72,0.140751601121667,0.13406546825,0.14624137475
73,0.142305798016666,0.13477684025,0.148702445
74,0.119514073085,0.11331506125,0.1247027315
75,0.158525801768333,0.152493643,0.1635992395
76,0.126172103283333,0.118366153,0.133018153
77,0.122989213138333,0.11421654775,0.13062127875
78,0.104853350826167,0.098591857475,0.110161539
79,0.114064533121667,0.1075102395,0.11948311125
80,0.151520031331667,0.14347669575,0.1583341815
81,0.104353606043667,0.097672970575,0.10993654825
82,0.137398642315,0.1297069995,0.14406952925
83,0.108563168694,0.10201709875,0.1141980355
84,0.106789869284667,0.100447562,0.11182420125
85,0.106230102613,0.09972189,0.11133826425
86,0.153449022336666,0.14611063075,0.159636078
87,0.130479666726667,0.12267077975,0.1371058455
88,0.146888601246667,0.14087760575,0.1518663435
89,0.153672018521666,0.147291139,0.15889106625
90,0.162242446668333,0.15529481875,0.16805571375
91,0.154770809261666,0.14914697575,0.15962369525
92,0.118246220006666,0.1114814515,0.12375861475
93,0.109690357533833,0.10457372575,0.11378992675
94,0.121153717555,0.1152010845,0.126196665
95,0.141806922205,0.13414515825,0.14797367425
96,0.149991169783334,0.141679961,0.157079669
97,0.160711349618333,0.15383488525,0.1664426145
98,0.164449965413333,0.15890228775,0.1690835605
99,0.196534104225,0.18643535425,0.20441776775
100,0.125784425176667,0.11988170775,0.1305533775
101,0.0938115102980001,0.08483782665,0.10147781625
102,0.191677817980001,0.1846539985,0.1974557285
103,0.152561482896667,0.1460834215,0.158006774
104,0.150898179803334,0.1413974175,0.15927486275
105,0.101003222366833,0.0935191179,0.107580546
106,0.130526022178333,0.1216397355,0.138199083
107,0.161148950901667,0.154799338,0.166512668
108,0.103581054459167,0.096351470725,0.10952537375
109,0.126732715546667,0.11881526425,0.133057827
110,0.129793925585,0.1226638895,0.1359080445
111,0.123374483903333,0.11520392625,0.13057819775
112,0.100011381339333,0.091770668325,0.10695345575
113,0.13841511029,0.13212226725,0.14355409
114,0.111081416558333,0.10486144875,0.11602362125
115,0.161227904721667,0.15463649825,0.16691792975
116,0.147145294705,0.13673375925,0.15548301175
