"subj","min_rt","t0","st0"
1,0.385238214728914,0.25750264893275,0.077250794679825
2,0.359911143789696,0.221126635695875,0.0663379907087626
3,0.341347003383017,0.16922640213088,0.050767920639264
4,0.389646863079283,0.218373413291007,0.0655120239873021
5,0.348635779179384,0.176691320416571,0.0530073961249714
6,0.343556182951494,0.14617983833776,0.0438539515013279
7,0.354044135372544,0.249709234995477,0.074912770498643
8,0.330650074997446,0.226055872077856,0.0678167616233569
9,0.351712157465873,0.205645468442654,0.0616936405327963
10,0.37793554014636,0.177062730609582,0.0531188191828746
11,0.356109903568288,0.217786437594493,0.0653359312783479
12,0.398773883703491,0.199761952390677,0.059928585717203
13,0.332199321238379,0.205150088135203,0.0615450264405609
14,0.340742927538322,0.216894935109234,0.0650684805327703
15,0.390093449855879,0.229476409125579,0.0688429227376738
16,0.313806077164255,0.1786661374182,0.0535998412254598
17,0.307733545768963,0.200295387323518,0.0600886161970553
18,0.369332738712624,0.240253437074947,0.0720760311224842
19,0.337733977130462,0.204340946181781,0.0613022838545342
20,0.32062290890525,0.181242980771532,0.0543728942314595
21,0.322183063507422,0.206626866205278,0.0619880598615834
22,0.373781123556054,0.220189000898526,0.0660567002695579
23,0.329327028920741,0.22255322364298,0.0667659670928941
24,0.348750450787353,0.166998782831672,0.0500996348495017
25,0.326431436689411,0.185488176079493,0.0556464528238479
26,0.363033663759923,0.236915493710109,0.0710746481130328
27,0.330032992944602,0.172666958914177,0.0518000876742532
28,0.363498083902095,0.162050193419134,0.0486150580257403
29,0.333558786096435,0.205248161148679,0.0615744483446038
30,0.405708107362437,0.21512718066879,0.0645381542006371
31,0.362062343633473,0.194870785680492,0.0584612357041477
32,0.294061904433183,0.185152814275813,0.0555458442827438
33,0.391247915614179,0.280901828245302,0.0842705484735905
34,0.347761894833789,0.200910153494288,0.0602730460482863
35,0.356833816991349,0.229096906199894,0.0687290718599681
36,0.391659685797,0.163107734464905,0.0489323203394716
37,0.362174663820512,0.210445403041996,0.0631336209125989
38,0.426841027960462,0.189854570452258,0.0569563711356774
39,0.334209962906188,0.149566428024992,0.0448699284074976
40,0.360572221813121,0.242720942871164,0.0728162828613493
41,0.36425483423874,0.22754184820461,0.0682625544613828
42,0.373757153255279,0.230253964037449,0.0690761892112346
43,0.374938130891023,0.200542448363757,0.0601627345091272
44,0.366460937895387,0.17548481399703,0.052645444199109
45,0.31273175057216,0.189392602909557,0.0568177808728672
46,0.337598890044695,0.165522505520002,0.0496567516560005
47,0.352131160560841,0.259212869907549,0.0777638609722648
48,0.335171845457849,0.194457591259701,0.0583372773779104
49,0.359664298039811,0.214882843496098,0.0644648530488295
50,0.326107125968729,0.148918144750218,0.0446754434250655
51,0.3772134884416,0.23084970544819,0.0692549116344569
52,0.356226174510439,0.233290057545318,0.0699870172635955
53,0.366435272150142,0.21882716138599,0.0656481484157971
54,0.343349141471002,0.198631201408463,0.0595893604225388
55,0.32954608453466,0.225225672960106,0.0675677018880319
56,0.393795712092172,0.246567249843793,0.0739701749531378
57,0.32412476337234,0.201014581888939,0.0603043745666818
58,0.325988484345267,0.211946854925793,0.063584056477738
59,0.329445741025905,0.197438199385413,0.0592314598156239
60,0.404639679023203,0.314035812444156,0.0942107437332469
61,0.346857673382114,0.208074655900686,0.062422396770206
62,0.383344235803843,0.249431906896849,0.0748295720690546
63,0.319174337171776,0.204239747955046,0.0612719243865138
64,0.337276292506229,0.211150948801955,0.0633452846405865
65,0.345225517454666,0.224208520612018,0.0672625561836055
66,0.36974512525918,0.221821566599538,0.0665464699798613
67,0.340896063305537,0.146672176566886,0.0440016529700657
68,0.37089688405648,0.190989606576036,0.0572968819728108
69,0.353383167844793,0.258543893787065,0.0775631681361195
70,0.355407696841967,0.250934656148341,0.0752803968445023
71,0.413636132921522,0.234279474339777,0.0702838423019332
72,0.329682645269541,0.128064128716761,0.0384192386150284
73,0.379258389106527,0.196463589611739,0.0589390768835216
74,0.382920158561792,0.176971437745265,0.0530914313235795
75,0.400021574114235,0.179732233766903,0.053919670130071
76,0.359723595604319,0.231023087422209,0.0693069262266628
77,0.357523548640049,0.208643496796758,0.0625930490390273
78,0.354599274310418,0.239403519052842,0.0718210557158526
79,0.371456879179881,0.1766715826429,0.05300147479287
80,0.36831624857484,0.184049436205243,0.0552148308615728
81,0.341545493263465,0.212008717434653,0.063602615230396
82,0.376579944027953,0.247159313758349,0.0741477941275047
83,0.367823807813685,0.206594286734506,0.0619782860203518
84,0.371003548447809,0.186487639201864,0.0559462917605593
85,0.434447383851005,0.304918415880193,0.0914755247640578
86,0.358312342974604,0.247632918954659,0.0742898756863976
87,0.334587762665669,0.217341524741418,0.0652024574224254
88,0.362666424583672,0.229505487334217,0.068851646200265
89,0.342033069773397,0.166026058144684,0.0498078174434052
90,0.326889373335495,0.138418882769279,0.0415256648307837
91,0.338704980631633,0.243372729351014,0.0730118188053041
92,0.353306687923546,0.210650739166723,0.0631952217500168
93,0.379176842811783,0.194574118697534,0.0583722356092601
94,0.360709820509834,0.245559722052687,0.0736679166158061
95,0.325274980514639,0.172023744638497,0.051607123391549
96,0.345331079630261,0.186627099682677,0.0559881299048031
97,0.304108501951611,0.184475817310997,0.0553427451932992
98,0.343933174674884,0.16176424515096,0.0485292735452881
99,0.310654483162652,0.16689758086306,0.0500692742589179
100,0.308297631838626,0.152747669929673,0.045824300978902
