"rep","subj","t0_mean","t0_q05","t0_q95","sv_mean","sv_q05","sv_q95","alpha_mean","alpha_q05","alpha_q95","t0_true","alpha_true","sv_true","t0_covered","sv_covered","alpha_covered"
1,1,0.0546646850473479,0.0499878608232584,0.0591489499491687,0.500158600775,0.3247920635,0.670538181,2.00688379284644,1.87227785318638,2.15159241340025,0.058291631499809,1.97045181399314,0.5,TRUE,TRUE,TRUE
1,2,0.0546734778373854,0.0502734749701928,0.0591196212934101,0.57958374857,0.390071003,0.820537228,1.77282896949288,1.65933082176132,1.89045889763942,0.0567655607968976,1.79889131294143,0.5,TRUE,TRUE,TRUE
1,3,0.0546332371515002,0.0502522179138507,0.058937446897802,0.516414190405,0.3307319025,0.702785748,1.89826359813018,1.76837502142879,2.0327628062804,0.0568743845769956,1.84053949060848,0.5,TRUE,TRUE,TRUE
1,4,0.0544850142219778,0.0500743613893235,0.0588772768339702,0.533631790236,0.3472663335,0.722473779,1.77105098882566,1.64215900361232,1.90191645531794,0.0580547873440656,1.7720529056491,0.5,TRUE,TRUE,TRUE
1,5,0.0546258312395238,0.0499736602024543,0.0589595682120781,0.505141912855,0.3329546575,0.6767651955,1.86129820625276,1.73826570524578,1.98571000543133,0.0580347953437636,1.76030152419938,0.5,TRUE,TRUE,TRUE
1,6,0.0541963478495495,0.0492727442087113,0.0585262204708553,0.543360232345,0.3613981,0.75532845,1.61103622457332,1.50702579769203,1.72104182317766,0.0563157938160708,1.50862223704827,0.5,TRUE,TRUE,TRUE
1,7,0.0545455648493965,0.050042647827261,0.0587965808426275,0.52591100631,0.349759295,0.7211552225,1.83750174623382,1.71187539966582,1.97015940666192,0.0580324153116219,1.88041284836009,0.5,TRUE,TRUE,TRUE
1,8,0.0543743098799742,0.0495910104190367,0.058791193371812,0.507005582735,0.3369006885,0.6713233625,1.76854220874107,1.64819248257245,1.89681280829861,0.0563758482686543,1.84562067170722,0.5,TRUE,TRUE,TRUE
1,9,0.0547101969145215,0.0501360684336023,0.0591093530265054,0.596753982495,0.4073246505,0.876856151,1.90433042040889,1.77563614061268,2.04055090930222,0.0568150114157901,1.80751995348027,0.5,TRUE,TRUE,TRUE
1,10,0.0544965347710791,0.0499403991218015,0.0588655626695393,0.57236315789,0.408712589,0.7615150555,2.03376240034075,1.89953348976809,2.17447472475177,0.0554794424318382,2.07962828635826,0.5,TRUE,TRUE,TRUE
1,11,0.0546502355494447,0.0501326673580054,0.0591484624557888,0.542189387575,0.354384118,0.7564317465,1.73505329201361,1.61754875159061,1.85788618131115,0.0591134808120876,1.67120207628521,0.5,TRUE,TRUE,TRUE
1,12,0.0543276252437644,0.049806312680343,0.0587029897413482,0.51840089534,0.333774801,0.7008088265,1.8388172255503,1.71629296419151,1.96229046107621,0.0573510929304482,1.91166813921315,0.5,TRUE,TRUE,TRUE
1,13,0.0541195214885793,0.0492814159503473,0.0583527056597405,0.56441698215,0.384265588,0.7909079685,1.80060028815975,1.68576984925096,1.91923460144332,0.0572146808898297,1.7355053757921,0.5,TRUE,TRUE,TRUE
