"rep","variable","true","mean","sd","q5","q95","rhat","ess_bulk","ess_tail","bias","rel_bias_pct","covered"
1,"beta_nu[1]",1.1,1.1430796885,0.0371722850897553,1.08247294,1.204460395,1.00212442271451,1375.60095079345,1394.32923781439,0.0430796885,3.91633531818182,TRUE
1,"beta_nu[2]",0.7,0.64074998695,0.057194702042657,0.547909579,0.733888745,1.00271696536637,427.955981383664,705.959640820281,-0.05925001305,-8.46428757857143,TRUE
1,"beta_nu[3]",0.45,0.48056039686,0.0363729589659935,0.4216181615,0.5414973775,1.00126024434201,882.602367687366,1212.08465626598,0.03056039686,6.79119930222222,TRUE
1,"beta_nu[4]",0.25,0.29233384203,0.0361125673285655,0.232565098,0.3525545375,1.0003361808203,919.400914503625,1313.9867204893,0.04233384203,16.933536812,TRUE
1,"beta_alpha2",0.024,0.0210656165239,0.00606856186213249,0.0111003161,0.0314019844,0.999799512434833,3868.87012552972,1445.2267318833,-0.0029343834761,-12.2265978170833,TRUE
1,"beta_alpha3",0.05,0.049141614228,0.0056732309343677,0.0395822738,0.05829656705,1.00042793338881,3422.68051346578,1505.66272448921,-0.000858385772000002,-1.716771544,TRUE
1,"beta_tau",0.3,0.18015699464462,0.0937788764311949,0.02286361785,0.3293788325,0.999497047221795,1716.92308755372,1706.5937730219,-0.11984300535538,-39.9476684517933,TRUE
1,"sigma_nu_c",0.5,0.528744340655,0.0442122523855483,0.4625617225,0.6032431715,0.999265920711936,529.545335164658,1264.19510518183,0.028744340655,5.748868131,TRUE
1,"sigma_nu_r",0.3,0.292742160065,0.0288377135797556,0.2488914575,0.343336032,0.999670300385392,782.787719129259,1278.5865921752,-0.00725783993500001,-2.41927997833334,TRUE
1,"sigma_nu_cr",0.3,0.274906648285,0.0290684959049503,0.229391514,0.324237597,1.00216156685793,746.280290976247,1261.96298357557,-0.025093351715,-8.36445057166666,TRUE
1,"sigma_alpha_intercept",0.08,0.078829876819,0.00792314884868121,0.0666046248,0.0928069611,1.00103627163534,823.265532071158,1053.15472636328,-0.001170123181,-1.46265397625,TRUE
1,"sigma_tau_intercept",0.05,0.0464696019227845,0.0448886589564734,0.002426230955,0.139157269,1.00035558836476,1012.72261081271,1031.98147346726,-0.0035303980772155,-7.060796154431,TRUE
1,"w",0.52,0.508485714335,0.00518711808633885,0.499972781,0.5169429095,0.99945542658968,1818.86119527139,1528.70492423201,-0.011514285665,-2.21428570480769,FALSE
2,"beta_nu[1]",1.1,1.077606337435,0.0338042465382101,1.0218347,1.13334909,1.00152538791523,703.219873868064,1262.81086146088,-0.0223936625650001,-2.0357875059091,TRUE
2,"beta_nu[2]",0.7,0.663665014395,0.0628493189961403,0.560150478,0.766419852,1.00354446817657,286.78428109648,437.201517368481,-0.0363349856049999,-5.1907122292857,TRUE
2,"beta_nu[3]",0.45,0.42600292391,0.0380204625240128,0.367630419,0.4874743015,1.00067455710657,476.736203455011,884.362026712683,-0.02399707609,-5.33268357555556,TRUE
2,"beta_nu[4]",0.25,0.178289463361,0.0450908699095706,0.103334383,0.247996453,1.00106118989711,497.099572900747,705.726608059599,-0.071710536639,-28.6842146556,FALSE
2,"beta_alpha2",0.024,0.0274276330229,0.00595185738947391,0.0177965758,0.03707349945,1.00079525542885,3226.0788850534,1745.6532882331,0.0034276330229,14.2818042620833,TRUE
2,"beta_alpha3",0.05,0.056333648066,0.00532974506767408,0.0475472449,0.06501532735,1.00013858002554,2358.30002704417,1585.49275996137,0.006333648066,12.667296132,TRUE
2,"beta_tau",0.3,0.40020636039,0.0856590830528007,0.262298951,0.536951176,1.00016191025395,1049.83973559989,1151.76018661637,0.10020636039,33.40212013,TRUE
2,"sigma_nu_c",0.5,0.6132343533,0.0497868760543002,0.537329173,0.6987240735,1.00320769023124,319.734090388933,602.328673361001,0.1132343533,22.64687066,FALSE
2,"sigma_nu_r",0.3,0.324130993105,0.0294811563329317,0.277961816,0.3747015135,1.00043763643218,563.47844253355,1172.64545633081,0.024130993105,8.04366436833333,TRUE
2,"sigma_nu_cr",0.3,0.380726546735,0.0358673433501647,0.324591508,0.4448660955,1.00160497692915,574.743128820968,1118.87361867559,0.080726546735,26.9088489116667,FALSE
2,"sigma_alpha_intercept",0.08,0.071058862054,0.00762411373548218,0.05886420115,0.0837904214,1.00733155436513,575.718943522631,1214.00076578492,-0.008941137946,-11.1764224325,TRUE
2,"sigma_tau_intercept",0.05,0.0470040418876285,0.0453743061244302,0.002931781145,0.1387137475,1.00130308157461,959.08514709729,1148.33893443689,-0.0029959581123715,-5.991916224743,TRUE
2,"w",0.52,0.51928063446,0.00483736999730133,0.5113972065,0.5275224575,1.00124056672036,1094.17770908831,1335.92283216748,-0.000719365540000072,-0.138339526923091,TRUE
3,"beta_nu[1]",1.1,1.11364999588,0.0374665279658607,1.052841185,1.175653295,1.00453551292655,559.34580232475,677.581546955721,0.0136499958799998,1.24090871636362,TRUE
3,"beta_nu[2]",0.7,0.720938698455,0.0503741096796446,0.6381953465,0.802322176,1.0035290150468,438.747993967688,828.723118771073,0.0209386984550001,2.99124263642858,TRUE
3,"beta_nu[3]",0.45,0.495911659275,0.0386169138979584,0.433245502,0.559430366,1.00124666615319,479.743734437487,984.144507740204,0.045911659275,10.20259095,TRUE
3,"beta_nu[4]",0.25,0.188606223395,0.0388978669588164,0.1246854925,0.2517518385,1.00595250804484,479.793826684302,939.620668344527,-0.061393776605,-24.557510642,TRUE
3,"beta_alpha2",0.024,0.02591652359465,0.0059477899473594,0.0159767157,0.03549452705,0.999760769462504,3486.61683629917,1491.00698364563,0.00191652359465,7.98551497770833,TRUE
3,"beta_alpha3",0.05,0.0572599469935,0.00570182562809764,0.0483151828,0.0667654711,1.00194674770583,2915.78192320761,1511.09095688085,0.00725994699349999,14.519893987,TRUE
