"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"lp__",-4867.2590192,-4866.99575,22.992814381535,23.2596959700002,-4905.897875,-4830.15256,1.00209908593846,516.449815123236,835.002300374326
"beta_nu[1]",1.074090781635,1.07385875,0.0329827606339046,0.0330036396899998,1.021339005,1.130861215,1.0009949371594,1165.93355411779,1373.06647136807
"beta_nu[2]",0.664970637715,0.665612615,0.0692057943876518,0.069555296853,0.550562366,0.775112096,1.00407010472931,255.445347021773,458.223849076567
"beta_nu[3]",0.426456164,0.42568708,0.0374896065552927,0.036672392694,0.364765405,0.488522024,1.00115358736637,563.278950493986,1229.55333469913
"beta_nu[4]",0.182861734123,0.183419635,0.0453937965861823,0.046449769044,0.107283067,0.2568750755,1.00435236468726,530.934516989706,1091.2906141113
"beta_alpha1",0.584703700845,0.58467268,0.011875225507877,0.0121289875140001,0.5663365365,0.6043079815,1.00083815696945,1002.87221069886,1202.93923976837
"beta_alpha2",0.02731403918815,0.027267395,0.00586142078073148,0.0060882561285,0.0178425839,0.0367155812,1.00183663903712,2981.68394489577,1464.12094058276
"beta_alpha3",0.056195337479,0.0561490575,0.00548407444430297,0.00528532074,0.0470837732,0.0654599269,0.999841404306254,3410.54710483606,1628.07698221633
"beta_tau",0.378317276617,0.379950625,0.103556780490865,0.106849173228,0.2123576515,0.5437985405,1.00007626521318,1679.30192711273,1642.85591023666
"sigma_nu_c",0.613907053565,0.610324355,0.0489804621071057,0.0455802537959999,0.5375768715,0.7001988525,1.00498499173486,495.624135658071,941.990272450501
"sigma_nu_r",0.3249485376,0.323604055,0.0301929325446994,0.028289675925,0.2778219525,0.377963452,1.00142863302444,778.674525089823,1029.21443105079
"sigma_nu_cr",0.380249097335,0.37830131,0.0346631908322961,0.034614032397,0.327249746,0.439714321,1.00164104509437,836.118871400528,1378.69871029516
"sigma_alpha_intercept",0.0709910907085,0.0708231945,0.00777761887983739,0.00771126057239999,0.0586583698,0.0843104256,1.00141919488097,780.010531233314,1161.40890341261
"sigma_tau_intercept",0.048418276799468,0.035216921,0.0456704065674244,0.0356992192431,0.002589255215,0.138661187,1.00174516890149,1344.44927073656,1030.07383743061
"z_nu_c[1]",-0.09110936631924,-0.0908294425,0.347395082294336,0.3354743698425,-0.654997861,0.484663415,0.999871252732999,1373.66701631571,1395.2546998534
"z_nu_c[2]",-0.86549098816915,-0.86459017,0.338665431942987,0.339304744779,-1.43464805,-0.3258327,1.0025786838753,1355.70366915821,1637.72484539947
"z_nu_c[3]",0.028411831367065,0.030722076,0.395226922833805,0.392135653875,-0.6298301235,0.689910671,0.999847356511121,1450.15391184938,1630.78039338884
"z_nu_c[4]",0.034409906245465,0.030209826,0.399811704884709,0.398703794265,-0.6050127885,0.70028607,1.00037600765008,1534.88073056491,1353.5114712968
"z_nu_c[5]",1.98076890607,1.97378815,0.332074054590912,0.33646732266,1.455494815,2.536185855,1.00225589345835,993.159928498703,1334.04811369743
"z_nu_c[6]",0.844876960852,0.8462283,0.314705311068755,0.323855793324,0.33539943,1.36542868,1.00221763783444,1199.88019013271,1392.28597913115
"z_nu_c[7]",-1.00654683977705,-1.0034998,0.323941654319044,0.31277492988,-1.5221611,-0.477608397,1.00042062283738,1227.45633972368,1378.28770410161
"z_nu_c[8]",-0.7063665288792,-0.69556554,0.326687733989089,0.325258859247,-1.24273212,-0.1688687495,1.00110874749834,1253.78364073499,1350.49561688594
"z_nu_c[9]",0.337830539145925,0.335775735,0.351770103883524,0.3507557993583,-0.238140961,0.92918247,1.0009178778308,1344.41297685304,1135.27809414028
"z_nu_c[10]",-0.502696157151075,-0.49872734,0.316781227916798,0.325762594836,-1.01745694,0.00595300039999993,0.999724361269579,1291.51359543472,1283.53987644528
"z_nu_c[11]",1.71986822781,1.71270755,0.306036589413659,0.3066046452,1.22207018,2.24235922,1.00258215759372,917.562564986754,1471.80296541031
"z_nu_c[12]",0.59880841090705,0.611102405,0.301303198628226,0.29873559744,0.09653916715,1.062480525,0.999460957426863,1282.44902239403,1188.13824033488
"z_nu_c[13]",0.06174949360345,0.0572477025,0.297568538396744,0.298460486184,-0.413407058,0.5501592005,1.00130096010779,1558.12508834771,1511.28960613471
"z_nu_c[14]",-0.20117236305461,-0.197530675,0.298936655908954,0.30186814265328,-0.68854581,0.2923115835,1.00148128291441,1217.65290930299,1387.56513895929
