"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"lp__",-11720.6790655,-11732.374,177.705270460411,168.9704394,-11973.0177,-11389.35655,1.06657761497444,19.7928936601119,45.953084824185
"beta_nu[1]",1.117466641,1.11726,0.0155209887952082,0.0153188903700001,1.091678295,1.1422752,1.00307196408044,1478.27425585784,1634.05533850286
"beta_nu[2]",0.65744738842,0.65873838,0.0538165646049156,0.0524127195270001,0.5671105475,0.7473118215,1.00199311142599,773.648714555224,1087.5309379339
"beta_nu[3]",0.42259426556,0.42240574,0.030677871545642,0.030440113095,0.3723792785,0.471669395,0.999525334323716,1418.48614690538,1457.10680004862
"beta_nu[4]",0.229269443725,0.228745605,0.0386150860239348,0.039533840346,0.1661412595,0.293399015,1.00069200898253,1352.05425551582,1152.12149717812
"beta_alpha[1]",1.7449828229,1.7446272,0.0202783592892815,0.0196623894599999,1.712414785,1.778828005,1.00200503772623,1636.95957186981,1433.50677841695
"beta_alpha[2]",0.0626249536935,0.0625804215,0.00879725278372101,0.0081163647138,0.0478131626,0.07727304475,0.999992791423095,2903.14223648336,1865.09911630003
"beta_alpha[3]",0.1083117221235,0.10832664,0.00900402774417774,0.00880158092099999,0.093692978,0.122970792,1.00027970518403,2075.7410441232,1737.40458701317
"beta_tau",0.208769776265,0.208740635,0.00411668570695902,0.00419053183499999,0.20214714,0.215476216,0.999582503567808,1542.61147156885,1351.95387185811
"sigma_nu",0.1550714991345,0.15520406,0.031017948436382,0.029326954776,0.102137252,0.2076741775,1.05309563638571,41.7626082060231,58.7271099033973
"sigma_alpha",0.1199434839215,0.1197218,0.00909105322796325,0.008995994259,0.1053666115,0.135241638,0.999891262981416,638.622533725727,1265.54857742022
"sigma_tau",0.00807195588075,0.00808066495,0.00284447608018954,0.00275657898033,0.003484219445,0.0125669355,1.05429477239322,19.7947916567171,42.6031304377766
"sigma_nu_c",0.50140109672,0.4984823,0.0407348087600835,0.040042609362,0.438503803,0.5729037405,1.00105673112297,942.758914560557,1187.6345314517
"sigma_nu_r",0.241439158145,0.2406532,0.0245096079578682,0.023720836461,0.202693553,0.2829717565,1.00453226427865,446.01577147982,878.37017737237
"sigma_nu_cr",0.3311721618,0.328978755,0.0296691230716999,0.030403655961,0.286186986,0.3818574465,1.00597784249316,775.188257192559,1258.08958126849
"sigma_alpha_intercept",0.17358696221,0.172646515,0.0161784956522977,0.015789215568,0.148300735,0.2019908305,1.00035058718054,811.789064858402,1404.96625150904
"sigma_tau_intercept",0.0310230579215,0.030820124,0.00361124287996074,0.003690828918,0.0256732071,0.037353731,1.00318532335319,568.527742498629,704.068583486491
"z_nu_c[1]",0.087065805511515,0.083078587,0.221530705904543,0.2146750870425,-0.28299494,0.458251064,1.00161141403149,1784.41522041903,1550.438752566
"z_nu_c[2]",1.32593509385,1.3126899,0.307951116625497,0.30981766179,0.846271871,1.845574195,1.00004522370236,1788.03202692403,1762.65198349352
"z_nu_c[3]",0.137186308178865,0.13860231,0.256530143091742,0.255226372758,-0.2715301225,0.5496151255,0.999945332890735,2180.89542380389,1759.6081897182
"z_nu_c[4]",-0.54029391210115,-0.53424506,0.234698428525455,0.233890253919,-0.9309297455,-0.1687632585,1.00127643887382,1856.33550914777,1623.32312054082
"z_nu_c[5]",0.42257794403063,0.41304034,0.245503829017796,0.23560456206,0.02906820365,0.8447482,0.999976459255424,1701.05242336218,1473.07030562589
"z_nu_c[6]",1.162004650945,1.15266095,0.295757711002673,0.284315696406,0.697204743,1.665401745,0.99913949173577,1619.8741528215,1634.34828221795
