"subj","tau_mean","tau_q05","tau_q95"
1,0.262731421527354,0.253988095465186,0.27123694806633
2,0.227376362832053,0.220160094508992,0.234322457525736
3,0.184308734212937,0.178588721780309,0.190046454892199
4,0.218673477498968,0.211933538984633,0.225316524776908
5,0.226399048620107,0.21962653291813,0.233460197239762
6,0.173082246045418,0.166887344546324,0.178376073919679
7,0.243824009026501,0.236216915398172,0.251364813901694
8,0.215056252548176,0.20835166319677,0.221379504561925
9,0.220155057637985,0.213084566235559,0.22710114777564
10,0.206079480483913,0.19746438814042,0.212749520478863
11,0.237905920345238,0.230759531099146,0.245156922261744
12,0.223304160018015,0.215815069159659,0.230084098416307
13,0.21373621264407,0.206424417552523,0.219977666530271
14,0.249113374650643,0.241717867868093,0.25706178103783
15,0.221134064628803,0.214197174976733,0.228120981061484
16,0.204454040553567,0.19695997976005,0.210999477626236
17,0.20050499853748,0.194508769194477,0.206696987060387
18,0.241030101230222,0.233106296922145,0.248915405528571
19,0.212949306886284,0.206320139172413,0.219679954228954
20,0.27601898908123,0.2674300906686,0.285121005431917
21,0.220782350184039,0.213873151323464,0.227707441625066
22,0.194857719987256,0.188333780757001,0.200868552530798
23,0.249408984915445,0.241659689355376,0.257143315132436
24,0.193241006246493,0.187276723525229,0.199071910826936
25,0.195205630072713,0.188591759622606,0.200949725120722
26,0.224093851442901,0.217286344084404,0.231099657706512
27,0.259565867208458,0.251484518570417,0.26771342945936
28,0.213008245118755,0.206438379419602,0.219663852692357
29,0.242639527488492,0.235462497835562,0.250425500411788
30,0.268240698749581,0.259703365347037,0.276489067829724
31,0.201504150178547,0.195001784898873,0.207584180005022
32,0.267853696474147,0.259897653997509,0.276665403129295
33,0.179255627863656,0.172904666180698,0.184938745581646
34,0.222292601242845,0.215228474583578,0.228855737624583
35,0.22651895768807,0.219689250261555,0.23349917565677
36,0.244385286386075,0.236280849067354,0.251865108623299
37,0.18850949777973,0.1817083192205,0.194634538692052
38,0.210033038831428,0.203041760247572,0.216453684131811
39,0.198599512693695,0.192089209701422,0.20473692777225
40,0.221717291704131,0.215090680566148,0.228671481212361
41,0.25059724852388,0.242479889675953,0.258608905727858
42,0.233343261615109,0.226494865894207,0.241165723220436
43,0.238265296558606,0.229910222661766,0.245175348345955
44,0.158789580942261,0.15331898691637,0.163860261510983
45,0.171729868516167,0.166406044438412,0.177101229390749
46,0.194764174562776,0.187869207124792,0.20097444582876
47,0.200627606196648,0.193163502230078,0.207029928938271
48,0.223915727232454,0.216945253632281,0.231168022434996
49,0.233074083132734,0.225761931337693,0.240838699167524
50,0.266209972958936,0.25766919510596,0.275747974965269
51,0.221965867258897,0.214263411623335,0.228734776375008
52,0.253737757933627,0.245843505199099,0.261573697497746
53,0.185974788609085,0.179162881348041,0.191844552010314
54,0.191587428711256,0.184850708390749,0.197488824021777
55,0.239779120951093,0.232153190684543,0.247461034430241
56,0.248088592962831,0.240325202361576,0.255980316761264
57,0.252651648203355,0.244616429597938,0.260460089028482
58,0.231493678800976,0.22462198769139,0.238403968281295
59,0.244037565653229,0.235795912638516,0.25161632439836
60,0.240386642964698,0.23246960069872,0.247542160200618
61,0.206260229544278,0.199495062264428,0.212430035465819
62,0.199879484017272,0.193460278891273,0.205720802623344
63,0.222557828834885,0.215479536792182,0.229153620362875
64,0.165363047244313,0.159320001728069,0.170551481914768
65,0.216319687796468,0.208889016856296,0.222992925674328
66,0.225192694785214,0.217813656421097,0.23208839041013
67,0.232418656809148,0.224733205471112,0.239448018361081
68,0.270718787407256,0.261594773700731,0.278849411751538
69,0.247889402134069,0.239858833185437,0.25518787428423
70,0.210342549285823,0.2030131638534,0.2168551433715
71,0.222192792658387,0.215062292516168,0.228899312170451
72,0.238503430481422,0.229609801646641,0.245676080920127
73,0.207367290836788,0.20066832300978,0.213541939935654
74,0.290487815924631,0.281719036138993,0.299875396203298
75,0.256573149536783,0.249061967552599,0.264623810847061
76,0.182537480130126,0.175895181573057,0.187921718886275
77,0.22892059064288,0.221534260157752,0.236369217637604
78,0.190716205469152,0.184617952592166,0.196797710454666
79,0.187543955582206,0.180995322719726,0.193104023027239
80,0.204680149525378,0.198181077451352,0.21188597045809
81,0.265321198093178,0.2575903310908,0.273641951181325
82,0.242710433864921,0.234901677996567,0.250397662522985
83,0.241041764573335,0.233449506567007,0.248978551043956
84,0.25282478881265,0.244831642170282,0.260399585938675
85,0.213296200589464,0.206573239277092,0.22010155600874
86,0.227785980878958,0.219933031116747,0.23510525315848
87,0.23162527119233,0.224411200732219,0.239468593909567
88,0.300292017043152,0.289276102912879,0.310033735753969
89,0.194631238484814,0.188542808710199,0.200379977219944
90,0.171591467506528,0.165909953573599,0.177014210971862
91,0.208005253993323,0.200003941466712,0.214770190210109
92,0.196018253798826,0.189255985970766,0.201971060310863
93,0.221298132568569,0.214650586078983,0.228796273116953
94,0.267530391331395,0.25877001671409,0.276454694449261
95,0.232655955661745,0.225224159243617,0.240211330594671
96,0.20611597669358,0.199767429630033,0.212447728370993
97,0.186410604376911,0.179889568580051,0.192082178773839
98,0.252222720423685,0.24460682093847,0.260613055525658
99,0.264769648119589,0.256868704506447,0.272585854027187
100,0.206904626510102,0.200469848948647,0.213376473640047
