"participant","tau_mean","tau_lo95","tau_hi95"
1,0.179513530833333,0.1678486975,0.1878195055
2,0.155249732083333,0.1464627515,0.16278404075
3,0.118635511583333,0.10856226025,0.126345416
4,0.108368296375,0.099740267275,0.11566552125
5,0.137969926,0.12899944675,0.14518334425
6,0.170892490666667,0.16333349975,0.17771274175
7,0.19308050175,0.181657219,0.202927658
8,0.157739756583333,0.15041978525,0.163631376
9,0.153122828,0.14550656125,0.15999380325
10,0.138402665666667,0.12918775975,0.1457988475
11,0.142331918416667,0.1297523925,0.1515327525
12,0.1469701915,0.13909729675,0.1550968905
13,0.1515555485,0.1432395895,0.15951857425
14,0.181801259,0.1738970125,0.1895557595
15,0.214343744833333,0.20114925875,0.22593380375
16,0.188584029416667,0.179876708,0.195965898
17,0.147121254083333,0.139219642,0.153611263
18,0.177282146083333,0.16632215625,0.18745850775
19,0.138782546666667,0.128361173,0.145627657
20,0.175134830666667,0.16542063125,0.183112613
21,0.128881628833333,0.122471698,0.13579075925
22,0.146549010416667,0.13940766425,0.1527022295
23,0.115040015583333,0.106391016,0.12127168125
24,0.137046769333333,0.126935477,0.14574061925
25,0.150242942333333,0.14166624275,0.1575274055
26,0.157081266583333,0.14862082225,0.1643940575
27,0.191072528666667,0.17707348225,0.20385810625
28,0.179354927916667,0.17022748025,0.1863282715
29,0.205127062833333,0.197240044,0.21250657425
30,0.178493991583333,0.16714960875,0.18777980975
31,0.161707816916667,0.14972946525,0.171914574
32,0.173048523583333,0.163761143,0.18181086525
33,0.12427826225,0.113488397,0.131699723
34,0.156425086083333,0.1434154515,0.168960825
35,0.12404742075,0.1173994745,0.13046142775
36,0.166191406833333,0.15646582175,0.17435995825
37,0.174291600083333,0.16343748425,0.1825614375
38,0.125594412666667,0.1169172715,0.132978076
39,0.170558016416667,0.16202757525,0.17828263675
40,0.138182304333333,0.1277603215,0.14657242425
41,0.119089350833333,0.11212447225,0.12539956775
42,0.12706365525,0.1165150035,0.13484970975
43,0.1676058555,0.15437279275,0.177932421
44,0.12121945325,0.11056162525,0.12992179825
45,0.1761880785,0.1697792415,0.18261216525
46,0.209083307083333,0.19902907625,0.21820404325
47,0.117778496166667,0.11192259025,0.122956333
48,0.13825180425,0.1306892405,0.1458413315
49,0.0937452770333333,0.08266429475,0.1026524805
50,0.164157360833333,0.15788418175,0.17062750625
51,0.1515860095,0.14495056875,0.15712457225
52,0.107100583991667,0.100249122325,0.11507084125
53,0.1616852775,0.15304538125,0.170576436
54,0.13130067475,0.11906135925,0.14278129275
55,0.183655804833333,0.17140438325,0.19322323275
56,0.161549062166667,0.151480685,0.16960334325
57,0.209225362083333,0.19911972775,0.217128402
58,0.118087554166667,0.10634204375,0.12768732575
59,0.142518889083333,0.134259557,0.148588152
60,0.140579601166667,0.13261680425,0.14730222475
61,0.164040284416667,0.154477745,0.17098161675
62,0.163048821333333,0.154827391,0.1709363885
63,0.159203082833333,0.1490388555,0.1675255
64,0.09724058685,0.08735939225,0.10502170125
65,0.142488583,0.13419355575,0.1496817415
66,0.15966495025,0.14436563575,0.1693403015
67,0.109875013375,0.096879424225,0.11843054225
