"participant","cell","cell_label","nu_mean","nu_lo95","nu_hi95","alpha_mean","alpha_lo95","alpha_hi95"
1,1,"cong/post-corr",8.870903581028,7.869404486,10.00098026375,1.0137552253545,0.895351077195482,1.15075758055441
2,1,"cong/post-corr",6.91916006591417,6.00172887925,7.83299762,1.1866524000078,1.04720639046374,1.32021384760158
3,1,"cong/post-corr",7.52608862737167,6.098053289,8.8024724001,0.947026735938698,0.83362188620197,1.05845238220324
4,1,"cong/post-corr",6.5740629480575,5.6457419185,7.54590557675,1.32391649578165,1.19381718187267,1.46860540886225
5,1,"cong/post-corr",8.22335670443758,7.33655076425,9.29677848525,1.03425346671692,0.922386804052049,1.15793096776883
6,1,"cong/post-corr",7.7586120519025,7.040291996675,8.867955103,1.06219829271965,0.950607650206646,1.19792762773397
7,1,"cong/post-corr",7.53102335938734,6.55095158325,8.3986440815,1.05826292906039,0.931120707480383,1.22683139820706
8,1,"cong/post-corr",7.69612162396667,6.83798179925,8.5683792965,1.16334603606767,1.03091324036682,1.30406863429291
9,1,"cong/post-corr",8.21895174231667,7.1407870745,9.220504483,0.992109925715817,0.862387619768955,1.11991462069107
10,1,"cong/post-corr",6.87764944794834,5.95052101675,7.82932048825,1.10681935014969,0.98800786334274,1.23141616627572
11,1,"cong/post-corr",6.543830286436,5.8395822834,7.386818169,1.27784846111209,1.12334670047476,1.4276869469948
12,1,"cong/post-corr",7.4942758695,6.5964835835,8.42106400675,1.17961110766597,1.03334465379433,1.32211708767783
13,1,"cong/post-corr",7.3448422083,6.48292818975,8.339784302,1.04723684584852,0.916054934017627,1.19058400768263
14,1,"cong/post-corr",6.89946751264292,6.008985499875,7.7577003145,1.2302823802568,1.12302187192521,1.36988871864103
15,1,"cong/post-corr",6.75589049319292,5.78489183075,7.724274404875,1.1429102955302,0.957644811182126,1.29329322551518
16,1,"cong/post-corr",9.924620990825,8.692845290525,11.55638896175,0.813891073549004,0.710508111590217,0.944426896890962
17,1,"cong/post-corr",7.8891631317,6.800990944,9.03144115275,0.996085023606119,0.896146675647719,1.09700434599498
18,1,"cong/post-corr",8.15572383447917,7.159698648575,8.90971089475,0.987411680252682,0.872457023091273,1.12017607735152
19,1,"cong/post-corr",6.70236943479592,5.70641291525,7.6938655745,1.08735988756163,0.967118269090566,1.19545588342019
20,1,"cong/post-corr",8.48155639993334,7.347949732625,9.84607542225,0.949050837178997,0.856393595087657,1.06199195180031
21,1,"cong/post-corr",5.7842531347775,4.94201336975,6.719629882225,1.12881345326354,0.99070353802424,1.2711431900206
22,1,"cong/post-corr",7.020492203287,5.9228294881175,8.04105694985,1.02577830078321,0.920559473465161,1.12459344643783
23,1,"cong/post-corr",7.11414035638416,6.2740238005,7.95282900575,1.24355823206183,1.10594039509228,1.38875227881893
