"participant","tau_mean","tau_lo95","tau_hi95"
1,0.179841946416667,0.16964581125,0.19014804375
2,0.155509939083333,0.14409320425,0.16433874275
3,0.1188292305,0.1114089625,0.12486543425
4,0.108767986541667,0.1021451475,0.113910257
5,0.13784841425,0.12957764525,0.144044003
6,0.170582271,0.15831751225,0.17816623
7,0.1935468785,0.1835034195,0.20177
8,0.157971153416667,0.14736712475,0.1646449345
9,0.153841090666667,0.145530173,0.15945260675
10,0.13794146,0.128253912,0.14455259
11,0.142184876,0.130773743,0.150919423
12,0.146764729833333,0.13441262625,0.15516703
13,0.151968183,0.1438777465,0.15884618875
14,0.181740311333333,0.172646604,0.18837615975
15,0.214014871916667,0.19829812225,0.227259129
16,0.188618733416667,0.18013013625,0.19624838725
17,0.146351935666667,0.136699472,0.15353374825
18,0.177502421666667,0.16645537875,0.18688733875
19,0.1386518315,0.13238969525,0.145737121
20,0.174803011166667,0.16692261,0.1829718305
21,0.129522075416667,0.1222166965,0.13622739875
22,0.145830682,0.136263686,0.154473412
23,0.114750889,0.1076259075,0.121932365
24,0.138088738083333,0.12742189775,0.1452745745
25,0.14983753425,0.14152409525,0.1555627145
26,0.15699552775,0.145807284,0.1661477365
27,0.191563185583333,0.17863100025,0.20083416375
28,0.179608895333333,0.17153031275,0.18677558025
29,0.205264096416667,0.19235065275,0.214359635
30,0.17868284825,0.1671722825,0.18720320675
31,0.162677314333333,0.1505039145,0.17191386375
32,0.173743251416667,0.1649456005,0.18232480775
33,0.12473206025,0.1144146335,0.13394337925
34,0.15702443675,0.142747166,0.16816272625
35,0.12392977925,0.115803076,0.13052498725
36,0.166165472833333,0.1551873805,0.17484274625
37,0.1746494365,0.1659687375,0.18246735625
38,0.126441540583333,0.1189061105,0.13414603625
39,0.170533544583333,0.162379812,0.1773025835
40,0.139098132083333,0.1295715235,0.1480575425
41,0.1192890015,0.10860547725,0.125429812
42,0.127223457666667,0.11793401725,0.134108987
43,0.168100152916667,0.1563018685,0.177278871
44,0.121989239416667,0.11088649425,0.1299948975
45,0.176354955166667,0.168220435,0.182367151
46,0.209282127583333,0.19802481425,0.2178547335
47,0.117945501583333,0.1113455525,0.1229110535
48,0.138786574833333,0.13088464325,0.1468360885
49,0.0943674049333333,0.08372895485,0.102027547
50,0.164231416166667,0.15520990675,0.1712371045
51,0.151154222333333,0.14150001,0.1591135655
52,0.107253548866667,0.098007774,0.11471351725
53,0.161620324666667,0.1523664755,0.168623795
54,0.1301078935,0.11601697625,0.14044423025
55,0.184028937083333,0.1722961975,0.1940049825
56,0.160419628166667,0.15058163475,0.16886690175
57,0.20972856925,0.20081006,0.21699652175
58,0.117897108458333,0.10238250025,0.12881604975
59,0.1426654345,0.1353888975,0.149185889
60,0.140456776833333,0.131950408,0.1484625845
61,0.164966737166667,0.157868404,0.17174033975
62,0.162962133583333,0.15550823,0.1690101465
63,0.160048049,0.150951778,0.16742750375
64,0.0974189602333334,0.088929570025,0.105978355
65,0.141831928416667,0.12963248375,0.1520728225
66,0.15953924875,0.14887169025,0.16847085825
67,0.110530448066667,0.1033805805,0.11812794525
