"param","mean","sd","lo95","hi95","rhat","n_eff"
"mu_nu",3.09519389022436,0.0448411272521436,3.00791178357796,3.1857078181922,0.999882423656138,2965.84158530177
"b_nu_condition",1.9665068458263,0.0576506632226746,1.85419683664227,2.08166159581898,1.0001294788915,3157.09233031132
"b_nu_resp_type",0.142006341886768,0.0451508246510041,0.0534510897608143,0.229831660230153,1.00002248368576,3054.33884098934
"b_nu_interaction",0.459491455883136,0.0445181744811837,0.373550216442099,0.547012881007822,1.00094514203151,3663.92515207506
"mu_alpha",0.684328543487911,0.00476919309996977,0.67496746033374,0.69351011886536,1.00062243991498,2470.67063612791
"b_alpha_resp_type",0.024198048231366,0.00470032718949146,0.0150425098072283,0.0331867660191001,0.999972845368807,3112.22450896647
"mu_tau",0.21462800032185,0.00137615224894637,0.211972720930805,0.217324534111203,1.00103231525052,3564.69448968497
"sigma_nu",0.968032107260091,0.0421167488457595,0.88633433733406,1.05322370736762,1.00319822990302,1525.6532843833
"sigma_alpha",0.0992510333238428,0.00401928331581112,0.0915851702476695,0.107190163928981,1.00162850023911,1806.88241286464
"sigma_tau",0.0323648363579015,0.00116010992237997,0.0301718700305925,0.0346595346803516,1.00094109116306,2608.95051462278
"sigma_nu_cond",0.528210949794902,0.0658545176487387,0.397078999891623,0.654307033203255,1.00211487300942,1455.45505032642
"sigma_nu_resp",0.0668972211693374,0.0496649581752963,0.00285806779410597,0.183583181087769,1.00382192324991,1679.08038515366
"sigma_nu_cr",0.0506563238869968,0.0386833226869874,0.00205770679438458,0.142097668904598,1.00001599165552,3003.94502868272
"sigma_alpha_resp",0.00468256765325306,0.0035277109437905,0.000183041573659266,0.0129791414269859,1.00129605204842,3439.94938545522
