"run","param","mean","se_mean","sd","rhat","n_eff"
1,"mu_nu",3.14409797130633,0.0012354646642254,0.048089905981794,1.00096368807675,1515.12058551404
1,"b_nu_condition",2.08466880801,0.00188245328238433,0.0630971304629992,1.00160979816951,1123.49411981581
1,"b_nu_resp_type",0.127425178809239,0.00136723881176912,0.048513536815279,1.00284036757586,1259.03301488064
1,"b_nu_interaction",0.40813965871779,0.00118998009288235,0.0454889921729854,1.00078470030369,1461.279317986
1,"mu_alpha",0.691652095350499,0.000168821321997559,0.00442891012655378,1.00485817587899,688.238782070021
1,"b_alpha_resp_type",0.024186437511165,0.000148090893231002,0.00410226868135476,1.00517380772873,767.346466446257
1,"b_alpha_condition",0.0572199367106372,0.000138931345720856,0.00409209373177956,1.00063199367947,867.542303048916
1,"mu_tau",0.216005148289731,4.20131913115469e-05,0.00148282720201551,1.00161949977475,1245.68933281358
1,"sigma_nu",1.02473153985358,0.00176639798346481,0.0450530802174019,1.00659871669725,650.536781029683
1,"sigma_alpha",0.0718451789020975,0.000218010241409819,0.00413930979540262,1.00597782095593,360.497345173949
1,"sigma_tau",0.0354882096896485,4.01260228786736e-05,0.00127556910925464,1.00377097679006,1010.54522362069
1,"sigma_nu_cond",0.572536168385023,0.00297770991036516,0.0703903856181622,1.00236286202899,558.807100825044
1,"sigma_nu_resp",0.0669911423340805,0.0017325611040392,0.0508828949859422,1.00435525459044,862.51469802638
1,"sigma_nu_cr",0.0543116826575392,0.00118272728541196,0.039832733373665,1.00361303686657,1134.25574185571
1,"sigma_alpha_resp",0.00467745828663071,0.000124449710400338,0.00356628226774709,0.99989592412103,821.189991650949
2,"mu_nu",3.14167194185874,0.00167551258881593,0.047218554255466,1.00377855307822,794.200179485225
2,"b_nu_condition",2.08882849467868,0.00211476459388577,0.0601258647602767,1.01083048573435,808.348450119208
2,"b_nu_resp_type",0.127232870051671,0.00137096321751913,0.0484821831806315,1.00031990952527,1250.58360350851
2,"b_nu_interaction",0.40402294200307,0.00142034133807805,0.0482794455804194,1.00534314510163,1155.41790748354
2,"mu_alpha",0.691624280921202,0.000222126243382912,0.00440403142708389,1.00366380973648,393.098218084671
2,"b_alpha_resp_type",0.0238808663187221,0.00015393291399216,0.00412576672445156,1.00147748595482,718.366970914512
2,"b_alpha_condition",0.0570099606690127,0.000149305936592141,0.00406429540297338,1.00440398943315,740.996880563551
2,"mu_tau",0.215951232432094,3.87094875240719e-05,0.00147593461964885,1.00210707987407,1453.78236368829
2,"sigma_nu",1.02552375203606,0.00170885560779127,0.0441570708685307,1.0031990519034,667.712917582948
2,"sigma_alpha",0.0717796426352356,0.000249441181232877,0.00437703100618602,1.01689540545068,307.90939278862
2,"sigma_tau",0.0354266993894184,4.07230894822881e-05,0.00126697908712734,1.00151708240315,967.960099844849
2,"sigma_nu_cond",0.576375823713721,0.00300224273385104,0.069212063042357,1.00818380567637,531.461714925799
2,"sigma_nu_resp",0.0653644459079506,0.00165251001487865,0.0497363794432391,1.00366512839666,905.858022618738
2,"sigma_nu_cr",0.054310280266628,0.00128437053063857,0.0408418463140324,1.00132381922683,1011.18372011352
2,"sigma_alpha_resp",0.00510478711432364,0.000141559475220847,0.00365164530395252,1.00283550203376,665.425263148237
3,"mu_nu",3.13978049683162,0.00144590153998498,0.0486357689745545,1.00211714155218,1131.44678606664
3,"b_nu_condition",2.08631493672941,0.00187122781879964,0.0630010749238829,0.999462573389976,1133.55497734249
3,"b_nu_resp_type",0.131107100382568,0.0013712985753504,0.0489411014876648,1.00051182158067,1273.74774870902
3,"b_nu_interaction",0.405069752402618,0.00124157697404673,0.0465321745660924,1.0012412334599,1404.62177912564
3,"mu_alpha",0.691335204177345,0.000203278619617168,0.00442632652518079,1.0159982787657,474.13661030153
3,"b_alpha_resp_type",0.0244502652808635,0.000139265601021915,0.00405995087719613,1.00505427680144,849.872628496217
3,"b_alpha_condition",0.0572420759745537,0.000166230665280004,0.00413062187815837,1.00525800325329,617.459669290816
3,"mu_tau",0.216004386555427,4.60632972644906e-05,0.00151505052514727,1.00340262449523,1081.79305374366
3,"sigma_nu",1.02316596823305,0.00167989046914129,0.043167225377055,1.0012668404737,660.307662872464
3,"sigma_alpha",0.0715006118077411,0.000255061341057878,0.0044784242418823,1.01240397032361,308.291241302837
3,"sigma_tau",0.0355114834927408,4.85577463475899e-05,0.0012821401772987,1.0068029821974,697.194535812104
3,"sigma_nu_cond",0.572756177052905,0.00264477936402566,0.0685221817439186,1.00586248917558,671.248718495653
3,"sigma_nu_resp",0.0696210307063853,0.00183721580764107,0.0514277841908582,1.00418726776927,783.565450595508
3,"sigma_nu_cr",0.0538322017954756,0.00119972404230144,0.0409853727386362,1.00347783580392,1167.06502433159
3,"sigma_alpha_resp",0.00468122196513881,0.000107880698543609,0.00339574144130513,1.00056154324544,990.790262537787
