"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"lp__",-4414.87996105,-4414.36665,23.1532647935328,23.09527563,-4453.281015,-4378.008055,1.0014499969699,516.575019224709,804.852036053369
"beta_nu[1]",1.15133957,1.150784,0.0370947283280592,0.0364202913899999,1.09048674,1.21296614,1.0033080350293,742.047307578585,1244.02188704202
"beta_nu[2]",0.604772368605,0.60526755,0.057702379536014,0.055722149595,0.5094079595,0.696453283,1.00664023692964,318.791366071253,483.243475675684
"beta_nu[3]",0.441810349605,0.44174612,0.0356602200970361,0.034323828273,0.382370406,0.499459401,1.00428877952966,596.746423757631,859.057248716922
"beta_nu[4]",0.27535604518,0.2745202,0.0402727487145358,0.040659726786,0.209626859,0.344262172,1.0067983509368,394.950062085866,895.87953452416
"beta_alpha1",0.57540661073,0.57491088,0.0133387448907814,0.012818122233,0.554299623,0.597245391,1.00453488791168,568.065257667401,1148.74477154902
"beta_alpha2",0.024921673486685,0.0248326415,0.00622579127022767,0.0065053026129,0.0149521538,0.03510017035,1.00020230367643,2569.90912586462,1622.80643589025
"beta_alpha3",0.056042944964,0.0561772735,0.00555720003595484,0.0054318297894,0.0464600836,0.06512634965,1.00056671456252,2168.94166360798,1417.39547520984
"beta_tau",1.17409232875,1.17309305,0.0418015715434833,0.04262764107,1.10837041,1.245099235,1.00249889214296,952.772075746729,1321.05265869112
"sigma_nu_c",0.532698607805,0.52934661,0.0450218653474876,0.042521694474,0.463420858,0.6138794865,1.00904468922423,473.357277577134,839.178966883673
"sigma_nu_r",0.269829522755,0.267887635,0.0281970582347921,0.02703943641,0.226237721,0.321423173,1.00122258363469,743.800208881321,954.617835130987
"sigma_nu_cr",0.343424124055,0.34206594,0.033402665941599,0.033446329224,0.291706657,0.3993117045,1.00443559334256,555.346927194694,797.792453644923
"sigma_alpha_intercept",0.07948244179,0.0791047885,0.00789643540327435,0.0078085005999,0.06693357665,0.09290923135,1.00184950228947,633.842554414914,1098.94026915658
"sigma_tau_intercept",0.0640193020828,0.06110406,0.0327096271685495,0.033530592795,0.0165193174,0.121948485,1.00416268787756,622.203140373895,805.419151415492
"z_nu_c[1]",1.113693613474,1.10482095,0.372197195244968,0.369741151374,0.495612277,1.71560821,1.00216329386503,1257.98691452191,1474.69829496407
"z_nu_c[2]",0.0326352923423135,0.0238810225,0.322043117845282,0.332877421737,-0.4714031155,0.577426886,1.00204709078035,1440.56682394819,1348.61253851453
"z_nu_c[3]",1.62991144804,1.62187555,0.356337536333916,0.3613563219,1.071991565,2.237929065,1.00604338636183,1196.34163146439,1287.32640788096
"z_nu_c[4]",0.451264429820175,0.45107717,0.333819670747784,0.328196104824,-0.08984291315,1.01436756,1.0015492474788,1271.36461958468,1352.21651477247
"z_nu_c[5]",-0.41610309535737,-0.416200465,0.369519647130982,0.360222192204,-1.006523595,0.1922871005,1.0005578564165,1057.7868503636,1454.43045625209
"z_nu_c[6]",0.69467670573555,0.68932462,0.281298368026945,0.283530681945,0.2390257975,1.151503485,1.00119872260526,1461.88505747636,1390.91636712677
"z_nu_c[7]",1.193804923825,1.18408875,0.303141200069207,0.299593214823,0.7092700645,1.708212465,1.00460932534736,1163.54739613805,1329.74815666737
"z_nu_c[8]",0.518433549323,0.511656835,0.327609581008915,0.322624130787,-0.0187129973,1.054621905,1.0028201160771,1215.64297386729,1319.92084864557
"z_nu_c[9]",-0.0360940875825318,-0.0361177515,0.375581175093663,0.3798651840669,-0.6322091595,0.5994853525,1.00079681856577,1158.53702521374,1242.64337118158
"z_nu_c[10]",-0.404311156357645,-0.40246729,0.486108670284216,0.4882503931641,-1.200847415,0.3889553925,1.00071575993833,1324.9855020504,1267.61281231772
"z_nu_c[11]",-0.69350715250466,-0.6975376,0.412733249497091,0.407949317517,-1.3494803,-0.000682172022000054,1.001128682036,1505.46509986666,1700.85712126734
"z_nu_c[12]",0.79277704605895,0.7979467,0.32470224022767,0.327841741185,0.276624507,1.32018744,0.99930416528639,1165.03762915436,1376.42221064756
"z_nu_c[13]",-1.684190939065,-1.67418455,0.389263844849259,0.38225319825,-2.349251995,-1.071250305,0.999123799952935,1021.75657064949,1152.600759708
"z_nu_c[14]",-0.173188218528235,-0.161223095,0.31723254076285,0.30413218731,-0.7206900805,0.3352189895,1.00230503451017,1178.51870595515,1211.23014583483
"z_nu_c[15]",-0.828011479538,-0.824867025,0.399923654364211,0.396795977172,-1.50279427,-0.1914103165,0.999552665922085,1489.26429966028,1611.73122983749
"z_nu_c[16]",0.90387451388895,0.89752179,0.348002369607626,0.341405878086,0.3138680445,1.47306104,0.999651812907673,1098.59528225093,1375.96064845531
"z_nu_c[17]",0.544614267165195,0.53338896,0.347769022190124,0.344563697478,-0.0246893128,1.13594564,1.0016521462912,1546.39030371784,1452.64997665507
"z_nu_c[18]",0.25229831169962,0.25227547,0.302870168183828,0.301701560979,-0.25233572,0.7381219845,1.00283749596628,1318.84797374925,1607.30441881682
"z_nu_c[19]",-0.91377903302895,-0.9129608,0.423906514949463,0.41109347475,-1.60383788,-0.220642639,1.00251822934395,1475.41533704197,1314.8007231391
"z_nu_c[20]",0.2434240443466,0.24954246,0.307360328674271,0.305225819787,-0.279669647,0.7349515935,1.00261249482464,1446.57400319496,1616.78271319489
"z_nu_c[21]",-1.632094299485,-1.6347629,0.373642216507874,0.36573607056,-2.23873483,-1.02001725,1.00159710084649,983.780172916602,1416.5537088867
"z_nu_c[22]",0.0512413619949018,0.0478025355,0.431530882028972,0.405991566456,-0.676244467,0.754780339,1.00003289492637,1187.41139605643,1648.16452909234
"z_nu_c[23]",-0.681745450867435,-0.672559765,0.392806094365369,0.390763907877,-1.33148648,-0.0610696104000001,1.00097748413545,974.413976559169,1336.57680998281
"z_nu_c[24]",-0.066329393793545,-0.07178005,0.383481433447298,0.375568540326,-0.6970321305,0.5664980395,1.00011529019002,1391.49043319724,1648.18791836825
"z_nu_c[25]",0.31046092771577,0.293544405,0.348508182600795,0.3329048439066,-0.232753237,0.888648376,1.00014495221664,1462.59674357295,1352.07486120205
"z_nu_c[26]",-1.990500791205,-1.9676504,0.458470693850619,0.45255290115,-2.75405905,-1.26098468,1.00426739459366,1055.51320444416,1276.21905474046
"z_nu_c[27]",0.251859646533275,0.250405875,0.33534896950176,0.3324205941294,-0.2790108445,0.8097916455,1.00037932536478,1042.26425112417,1453.09633185568
"z_nu_c[28]",1.32446939075,1.3091053,0.344786275754156,0.33416699463,0.7909782425,1.93364675,1.00195251102878,1265.49440405794,1216.96918902178
"z_nu_c[29]",0.310024463693486,0.299982855,0.33811455930031,0.3395340948447,-0.237351586,0.864659689,1.00151628585984,1127.36564812757,1094.12336629496
"z_nu_c[30]",0.007066808914965,0.014178356,0.389161733768848,0.3902516636466,-0.6507882805,0.639027938,0.999229778296846,1302.2160605301,1459.38491201046
"z_nu_c[31]",1.157036989411,1.1582021,0.324191341502645,0.321896611554,0.6295811535,1.70178341,1.00309402530232,929.390380518465,1499.27275047707
"z_nu_c[32]",-0.034549707059965,-0.0463662745,0.370016428738828,0.3626379917937,-0.636869449,0.5943583435,1.00001999369423,1393.06540978575,1232.12536574662
"z_nu_c[33]",-0.9123518987888,-0.894942605,0.407143162032828,0.412889362956,-1.59742509,-0.254328012,0.999474117017863,1367.86225281955,1491.08632800321
"z_nu_c[34]",0.388789278776705,0.393622715,0.332730691024785,0.331081533531,-0.143614747,0.909301496,1.00107199885155,1016.13181032546,873.886719712013
"z_nu_c[35]",-1.81755960209,-1.80944225,0.392275659369612,0.40423793235,-2.45340693,-1.188132775,1.00065266569527,1184.27602239562,1015.10845955389
"z_nu_c[36]",-0.997530362462,-1.0009437,0.315600458883002,0.315526272243,-1.50029763,-0.470401372,1.00138126407933,1309.99726273371,1373.32769412428
"z_nu_c[37]",0.065911849032359,0.0538566575,0.493166696640345,0.4957254533175,-0.717407637,0.8692999095,1.00091645425257,1127.63613632375,1483.50957505672
"z_nu_c[38]",-0.313405467398712,-0.308740045,0.402365193945405,0.4107334876092,-0.9929052365,0.349589262,1.00107797410214,1326.90642869468,1503.44749607074
